Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.57,12,33-21,4355,6351,112
Lucky,1.24,5,26-21,3290,4996,48
MethodZsick,0.8,-5,20-25,3285,3990,34
Mettalz,0.91,-2,20-22,2880,3977,70
Sukry,0.79,-4,15-19,2675,3811,94
Totals,1.06,6,114-108,16485,23125,358
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.37,7,26-19,3640,4949,54
Bance,0.74,-6,17-23,2630,3570,64
Brack,1,0,22-22,2690,4114,51
Joee,0.71,-8,20-28,2860,4729,52
Rated,1.05,1,23-22,3455,4757,64
Totals,0.95,-6,108-114,15275,22119,285
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.5,4,12-8,1765,1997,3:0
Lucky,1.38,3,11-8,1525,2235,1:1
MethodZsick,0.5,-5,5-10,675,1237,1:1
Mettalz,1.57,4,11-7,1825,2500,2:2
Sukry,0.75,-2,6-8,875,1616,0:0
Totals,1.1,4,45-41,6665,9585,7:4
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.89,-1,8-9,1100,1517,1:1
Bance,0.75,-2,6-8,775,2156,1:1
Brack,1.2,2,12-10,1810,2085,1:1
Joee,0.4,-6,4-10,575,883,1:4
Rated,1.38,3,11-8,2000,2611,0:0
Totals,0.91,-4,41-45,6260,9252,4:7
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.67,-9,18-27,3335,3671,1:0
Lucky,1,0,20-20,3525,5075,0:1
MethodZsick,0.77,-5,17-22,3330,3221,2:0
Mettalz,0.96,-1,22-23,3850,4542,0:0
Sukry,1.61,11,29-18,4425,5994,0:1
Totals,0.96,-4,106-110,18465,22503,3:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.3,7,30-23,3985,5775,1:0
Bance,0.88,-3,22-25,3300,5509,1:0
Brack,0.65,-7,13-20,2375,3458,0:0
Joee,1,0,23-23,3475,3801,0:3
Rated,1.47,7,22-15,3645,5279,0:0
Totals,1.04,4,110-106,16780,23822,2:3
