FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.42,8,27-19,3325,4473,65
Cellium,1.57,8,22-14,4150,4697,107
Skrapz,0.77,-3,10-13,2330,2888,125
Zer0,1.29,5,22-17,3245,4186,49
Zoomaa,1.11,2,20-18,2535,3420,58
Totals,1.25,20,101-81,15585,19664,404
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.91,-2,21-23,2740,4722,6
Lacefield,0.48,-12,11-23,1615,3001,37
LlamaGod,0.75,-4,12-16,2055,3229,25
Parasite,1.06,1,19-18,2295,3498,19
Saints,0.86,-3,18-21,2830,3902,21
Totals,0.8,-20,81-101,11535,18352,108
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.63,-3,5-8,850,1659,2:3
Cellium,1.38,3,11-8,1325,2768,2:0
Skrapz,0.38,-5,3-8,650,1038,1:1
Zer0,0.83,-1,5-6,750,1440,0:0
Zoomaa,0.4,-6,4-10,400,1005,1:0
Totals,0.7,-12,28-40,3975,7910,6:4
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.67,-3,6-9,945,1500,0:0
Lacefield,1.75,3,7-4,900,1591,1:1
LlamaGod,3.67,8,11-3,1845,2242,0:0
Parasite,1.2,1,6-5,800,1375,3:3
Saints,1.29,2,9-7,950,1628,0:2
Totals,1.39,11,39-28,5440,8336,4:6
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.88,-3,21-24,3875,4882,0:1
Cellium,1.14,4,32-28,4825,6955,2:0
Skrapz,1,0,24-24,4000,5258,1:1
Zer0,0.88,-3,22-25,3470,5243,0:0
Zoomaa,0.76,-6,19-25,3140,4894,0:0
Totals,0.94,-8,118-126,19310,27232,3:2
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.54,13,37-24,4605,6889,1:0
Lacefield,0.81,-5,22-27,3975,4575,0:1
LlamaGod,0.95,-1,18-19,3305,4324,1:0
Parasite,1.38,8,29-21,4775,4938,0:1
Saints,0.7,-8,19-27,2850,4921,0:1
Totals,1.06,7,125-118,19510,25647,2:3
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.35,6,23-17,4315,4628,156
Cellium,1.22,4,22-18,3330,4897,43
Skrapz,1.1,2,23-21,2730,4993,69
Zer0,1.21,4,23-19,3195,4688,32
Zoomaa,0.79,-5,19-24,2985,4041,78
Totals,1.11,11,110-99,16555,23247,378
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.88,-3,21-24,3635,4107,80
Lacefield,1.05,1,22-21,3180,4334,54
LlamaGod,0.9,-2,18-20,3265,4718,42
Parasite,1.17,3,21-18,3510,3845,78
Saints,0.63,-10,17-27,3090,3722,32
Totals,0.9,-11,99-110,16680,20726,286
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.43,-4,3-7,650,907,0:1
Cellium,2.6,8,13-5,1625,2507,0:2
Skrapz,0.86,-1,6-7,1050,1815,1:1
Zer0,1.5,3,9-6,975,1422,1:0
Zoomaa,1,0,7-7,1230,1217,1:2
Totals,1.19,6,38-32,5530,7868,3:6
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.5,-4,4-8,470,835,1:1
Lacefield,1,0,7-7,1010,1514,0:1
LlamaGod,1.29,2,9-7,1450,2170,0:0
Parasite,1,0,8-8,1125,1873,4:1
Saints,0.5,-4,4-8,725,1154,1:0
Totals,0.84,-6,32-38,4780,7546,6:3
