Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.32,7,29-22,4335,5410,75
General,1.36,8,30-22,4655,5071,90
GodRx,1.25,7,35-28,5110,6993,47
Jetli,0.88,-3,23-26,4545,5709,91
Kismet,0.79,-7,27-34,4530,6285,79
Totals,1.09,12,144-132,23175,29468,382
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.27,6,28-22,4405,6113,116
Jurd,1.08,2,28-26,4055,5203,55
Loony,0.88,-4,28-32,3810,4836,58
Nolson,0.71,-8,20-28,4095,4755,71
Temp,0.75,-9,27-36,4090,7300,43
Totals,0.91,-13,131-144,20455,28207,343
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.29,2,9-7,1150,1358,2:1
General,0.88,-1,7-8,1150,2064,1:1
GodRx,2,6,12-6,2290,2119,1:0
Jetli,0.56,-4,5-9,700,1137,1:0
Kismet,0.38,-5,3-8,600,988,1:2
Totals,0.95,-2,36-38,5890,7666,6:4
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.17,1,7-6,975,1466,1:2
Jurd,1,0,8-8,1225,1582,0:1
Loony,1.38,3,11-8,1425,1607,1:0
Nolson,0.71,-2,5-7,735,760,2:1
Temp,0.86,-1,6-7,1225,1772,0:2
Totals,1.03,1,37-36,5585,7187,4:6
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.48,12,37-25,5125,6315,1:1
General,0.92,-2,24-26,3650,4921,0:1
GodRx,1.54,13,37-24,5010,7418,0:0
Jetli,0.7,-8,19-27,3725,5037,0:0
Kismet,0.86,-4,25-29,4350,5739,0:2
Totals,1.08,11,142-131,21860,29430,1:4
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.13,3,26-23,4610,6531,0:0
Jurd,0.97,-1,30-31,4000,5901,0:1
Loony,0.83,-5,24-29,3605,4609,1:0
Nolson,0.63,-11,19-30,3265,4199,0:0
Temp,1.1,3,32-29,4525,7263,3:0
Totals,0.92,-11,131-142,20005,28503,4:1
