100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.96,-1,22-23,3345,4255,87
Kenny,1.5,10,30-20,4605,6254,45
Octane,1.04,1,25-24,3680,5413,63
Priestahh,0.96,-1,26-27,3575,5411,69
Slasher,0.96,-1,24-25,3955,4812,114
Totals,1.07,8,127-119,19160,26145,378
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.72,-7,18-25,3810,4443,118
Decemate,1.04,1,24-23,3815,5680,67
Fero,0.79,-6,22-28,3050,4507,51
Huke,0.96,-1,25-26,3925,5066,45
Silly,1.2,5,30-25,4585,4758,43
Totals,0.94,-8,119-127,19185,24454,324
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.67,2,5-3,925,1000,0:0
Kenny,2,4,8-4,1180,1632,1:1
Octane,2,5,10-5,1075,1887,3:1
Priestahh,1,0,4-4,715,796,0:1
Slasher,1.5,2,6-4,1125,1504,1:0
Totals,1.65,13,33-20,5020,6819,5:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1,0,7-7,700,1707,1:1
Decemate,0.43,-4,3-7,375,563,0:0
Fero,0,-6,0-6,300,824,0:2
Huke,1.2,1,6-5,850,1480,0:2
Silly,0.5,-4,4-8,500,814,2:0
Totals,0.61,-13,20-33,2725,5388,3:5
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.94,-1,16-17,3195,3490,0:0
Kenny,1,0,20-20,3285,4188,0:1
Octane,1.69,11,27-16,4350,5177,1:0
Priestahh,0.78,-5,18-23,2725,3907,0:0
Slasher,1.29,5,22-17,3500,5301,0:0
Totals,1.11,10,103-93,17055,22063,1:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.94,-1,17-18,3135,4199,0:0
Decemate,1.63,10,26-16,3875,5078,0:0
Fero,0.57,-10,13-23,2425,3248,1:1
Huke,0.85,-4,22-26,3100,4429,0:0
Silly,0.75,-5,15-20,2905,3293,0:0
Totals,0.9,-10,93-103,15440,20247,1:1
