Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.94,-1,17-18,2505,3635,56
MRuiz,1.24,4,21-17,2880,3820,64
Profeezy,1.43,6,20-14,3145,3508,60
Skyz,1.77,10,23-13,4050,5258,97
Wailers,2.44,13,22-9,2905,3856,96
Totals,1.45,32,103-71,15485,20077,373
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,0.82,-3,14-17,2050,3285,10
Dylan,1,0,22-22,3460,4701,51
Seany,0.45,-12,10-22,2230,3129,21
Wuskin,0.8,-4,16-20,2060,2840,27
Zed,0.41,-13,9-22,1150,2685,11
Totals,0.69,-32,71-103,10950,16640,120
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.75,-2,6-8,850,1687,3:0
MRuiz,1.17,1,7-6,900,1299,1:1
Profeezy,0.25,-6,2-8,465,440,0:1
Skyz,0.86,-1,6-7,1190,1795,0:2
Wailers,0.88,-1,7-8,750,1980,1:0
Totals,0.76,-9,28-37,4155,7201,5:4
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.86,-1,6-7,875,1846,1:1
Dylan,2,5,10-5,1420,1587,2:1
Seany,2.67,5,8-3,1585,1959,0:1
Wuskin,0.43,-4,3-7,550,888,1:2
Zed,1.5,3,9-6,1475,1721,0:0
Totals,1.29,8,36-28,5905,8001,4:5
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,20-20,3050,4347,0:0
MRuiz,1.06,1,18-17,3100,3410,0:0
Profeezy,0.76,-5,16-21,2650,3219,1:0
Skyz,1,0,19-19,3250,4155,1:0
Wailers,0.81,-4,17-21,3320,4923,1:1
Totals,0.92,-8,90-98,15370,20054,3:1
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.33,5,20-15,3255,4057,1:0
Dylan,1.39,7,25-18,3735,5124,0:1
Seany,0.79,-4,15-19,2725,4084,0:0
Wuskin,0.83,-4,19-23,3390,4538,0:1
Zed,1.27,4,19-15,2725,4159,0:1
Totals,1.09,8,98-90,15830,21962,1:3
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.21,5,29-24,3580,4866,30
MRuiz,0.58,-11,15-26,2730,4426,26
Profeezy,0.83,-4,19-23,2840,3311,59
Skyz,0.75,-6,18-24,2700,5040,52
Wailers,0.95,-1,18-19,2525,4202,78
Totals,0.85,-17,99-116,14375,21845,245
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1.44,7,23-16,3265,5160,113
Dylan,1.04,1,27-26,3485,4844,43
Seany,1.21,4,23-19,2845,5126,35
Wuskin,1.26,5,24-19,3350,4838,71
Zed,1,0,19-19,2410,4736,47
Totals,1.17,17,116-99,15355,24704,309
