eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.24,4,21-17,3410,4045,82
Arcitys,1,0,15-15,2725,3483,126
Clayster,1.22,4,22-18,3050,4663,43
Prestinni,1,0,20-20,2695,3945,44
Simp,1.5,7,21-14,3455,4142,47
Totals,1.18,15,99-84,15335,20278,342
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.95,-1,18-19,2285,3514,13
Methodz,0.86,-3,19-22,2865,5240,34
Parzelion,0.79,-4,15-19,2060,4077,66
Royalty,0.5,-11,11-22,2425,3591,82
Zaptius,1.24,4,21-17,3160,3832,95
Totals,0.85,-15,84-99,12795,20254,290
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.67,-2,4-6,675,1475,1:1
Arcitys,0.33,-4,2-6,200,489,1:0
Clayster,0.86,-1,6-7,675,1560,0:0
Prestinni,0.71,-2,5-7,675,1136,2:1
Simp,1,0,5-5,675,1592,2:0
Totals,0.71,-9,22-31,2900,6252,6:2
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.75,3,7-4,1320,1458,0:0
Methodz,1,0,6-6,900,1489,1:1
Parzelion,0.2,-4,1-5,550,704,0:2
Royalty,2,4,8-4,1225,1444,1:0
Zaptius,2.25,5,9-4,1375,1217,0:3
Totals,1.35,8,31-23,5370,6312,2:6
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.79,-3,11-14,1650,2466,0:1
Arcitys,1.1,1,11-10,1550,2910,0:0
Clayster,0.58,-8,11-19,1595,2626,0:0
Prestinni,0.59,-7,10-17,1350,2739,0:2
Simp,0.53,-7,8-15,1100,1915,0:0
Totals,0.68,-24,51-75,7245,12656,0:3
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.67,6,15-9,2800,2821,0:0
Methodz,2,9,18-9,2575,3947,2:0
Parzelion,2.11,10,19-9,2855,3148,0:0
Royalty,1.17,2,14-12,2275,3481,1:0
Zaptius,0.75,-3,9-12,1375,2292,0:0
Totals,1.47,24,75-51,11880,15689,3:0
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.08,1,14-13,1975,2824,62
Arcitys,1.82,9,20-11,2775,3592,91
Clayster,1.36,5,19-14,2835,4105,47
Prestinni,1.36,5,19-14,2940,4362,79
Simp,1.23,3,16-13,2425,3014,89
Totals,1.35,23,88-65,12950,17897,368
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.56,-8,10-18,1790,3234,36
Methodz,1.53,8,23-15,3345,4166,61
Parzelion,0.74,-5,14-19,1885,2813,48
Royalty,0.43,-12,9-21,1280,2288,18
Zaptius,0.56,-7,9-16,1530,2134,20
Totals,0.73,-24,65-89,9830,14635,183
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.2,1,6-5,780,1030,0:0
Arcitys,0.4,-3,2-5,500,1116,0:0
Clayster,1.4,2,7-5,900,1528,1:0
Prestinni,1,0,5-5,1125,1278,2:3
Simp,2,4,8-4,975,1267,3:0
Totals,1.17,4,28-24,4280,6219,6:3
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.2,1,6-5,1060,1228,1:1
Methodz,0.83,-1,5-6,700,1954,0:2
Parzelion,0.57,-3,4-7,525,762,0:1
Royalty,0.67,-2,4-6,650,952,1:1
Zaptius,0.83,-1,5-6,975,1246,1:1
Totals,0.8,-6,24-30,3910,6142,3:6
