Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.86,-4,25-29,3310,5279,40
Lucky,0.73,-8,22-30,2635,4550,50
MethodZsick,0.88,-3,22-25,3420,3550,40
Mettalz,1.33,8,32-24,5180,6108,82
Sukry,0.57,-13,17-30,2955,5000,33
Totals,0.86,-20,118-138,17500,24487,245
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.17,4,27-23,4380,5575,85
Dashy,1.35,8,31-23,4205,6831,31
Karma,0.78,-6,21-27,3720,4174,115
Scump,1.16,4,29-25,4790,5275,54
TJHaly,1.45,9,29-20,4815,5738,74
Totals,1.16,19,137-118,21910,27593,359
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.44,-5,4-9,675,1069,0:0
Lucky,0.88,-1,7-8,800,1591,3:1
MethodZsick,0.57,-3,4-7,650,812,0:0
Mettalz,0.57,-3,4-7,505,1025,1:3
Sukry,1.25,2,10-8,1575,2459,1:1
Totals,0.74,-10,29-39,4205,6956,5:5
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,2,5,10-5,1800,1983,2:0
Dashy,0.5,-3,3-6,850,932,1:2
Karma,1.4,2,7-5,1100,1608,0:0
Scump,1.67,4,10-6,1540,1558,1:1
TJHaly,1.29,2,9-7,1175,1719,1:2
Totals,1.34,10,39-29,6465,7800,5:5
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1,0,20-20,2710,3746,0:1
Lucky,0.56,-7,9-16,1200,2781,0:0
MethodZsick,0.44,-10,8-18,1250,1696,0:0
Mettalz,0.8,-3,12-15,1525,3451,1:0
Sukry,0.43,-8,6-14,1375,1946,0:0
Totals,0.66,-28,55-83,8060,13620,1:1
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.17,2,14-12,2500,3343,0:0
Dashy,1.78,7,16-9,2775,4117,0:0
Karma,0.67,-4,8-12,1775,1736,0:1
Scump,1.07,1,15-14,2770,3194,0:0
TJHaly,3.75,22,30-8,4435,4973,1:0
Totals,1.51,28,83-55,14255,17363,1:1
