Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.78,-6,21-27,3180,4740,45
Attach,0.81,-4,17-21,2945,3867,74
JKap,1.25,5,25-20,4460,5555,46
Phantomz,1.18,3,20-17,3430,4551,128
Xotic,1,0,23-23,3760,5168,65
Totals,0.98,-2,106-108,17775,23881,358
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.32,6,25-19,3975,4609,80
Bance,0.9,-2,19-21,2715,4593,42
Brack,0.68,-7,15-22,2570,3269,91
Joee,0.85,-4,23-27,3685,4543,48
Rated,1.47,8,25-17,3725,5111,71
Totals,1.01,1,107-106,16670,22125,332
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,5.5,9,11-2,1795,1348,3:1
Attach,1.75,3,7-4,1225,1082,3:0
JKap,1,0,4-4,600,1386,0:0
Phantomz,1,0,3-3,550,1363,0:0
Xotic,1.5,2,6-4,1255,1283,0:0
Totals,1.82,14,31-17,5425,6462,6:1
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.67,-2,4-6,400,909,0:2
Bance,0.17,-5,1-6,500,871,0:0
Brack,0.43,-4,3-7,300,823,1:1
Joee,0.67,-2,4-6,575,488,0:1
Rated,0.67,-2,4-6,425,1144,0:2
Totals,0.52,-15,16-31,2200,4235,1:6
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,2.43,20,34-14,4690,5340,2:0
Attach,1.13,2,17-15,2955,3051,0:0
JKap,0.65,-6,11-17,1900,2979,0:0
Phantomz,1.36,5,19-14,2985,3473,0:1
Xotic,1.33,4,16-12,3550,3961,0:1
Totals,1.35,25,97-72,16080,18804,2:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.82,-4,18-22,2675,4292,1:0
Bance,0.88,-2,14-16,2630,3339,1:0
Brack,0.76,-5,16-21,2250,3088,0:2
Joee,0.48,-11,10-21,1850,2480,0:0
Rated,0.82,-3,14-17,2175,3115,0:0
Totals,0.74,-25,72-97,11580,16314,2:2
