Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.72,-7,18-25,2515,3452,24
Attach,1.13,2,18-16,3040,3657,58
JKap,0.81,-5,21-26,2845,4569,32
Phantomz,0.61,-7,11-18,1915,2826,72
Xotic,1.29,5,22-17,3035,4879,69
Totals,0.88,-12,90-102,13350,19383,255
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.38,6,22-16,3640,5803,34
Lucky,0.83,-3,15-18,2885,4406,125
MethodZsick,1.28,5,23-18,3635,4014,86
Mettalz,1.05,1,21-20,2670,3675,49
Sukry,1.17,3,21-18,3525,4310,111
Totals,1.13,12,102-90,16355,22208,405
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.75,-2,6-8,880,1217,2:0
Attach,1.13,1,9-8,925,1886,1:2
JKap,0.14,-6,1-7,400,715,0:4
Phantomz,0.71,-2,5-7,700,1357,0:1
Xotic,0.71,-2,5-7,1265,1142,0:0
Totals,0.7,-11,26-37,4170,6317,3:7
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1,0,7-7,965,1350,1:0
Lucky,1.17,1,7-6,750,1105,6:1
MethodZsick,0.8,-1,4-5,800,623,0:2
Mettalz,2.5,6,10-4,2045,1627,0:0
Sukry,2,4,8-4,1025,2080,0:0
Totals,1.38,10,36-26,5585,6785,7:3
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,1.21,6,35-29,4700,6510,0:3
Attach,1.29,6,27-21,4415,5750,1:0
JKap,1.05,1,23-22,3175,5126,0:0
Phantomz,1.26,5,24-19,3860,4688,0:0
Xotic,0.96,-1,26-27,3925,5645,1:0
Totals,1.14,17,135-118,20075,27719,2:3
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.8,-6,24-30,3580,5323,0:0
Lucky,0.92,-2,23-25,3325,5054,1:1
MethodZsick,0.66,-10,19-29,2950,4454,0:1
Mettalz,1.28,7,32-25,4250,6102,1:0
Sukry,0.77,-6,20-26,3000,4896,1:0
Totals,0.87,-17,118-135,17105,25829,3:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.65,-11,20-31,3510,4790,82
Attach,1.53,10,29-19,4195,5395,66
JKap,0.76,-6,19-25,2720,4597,44
Phantomz,0.9,-2,18-20,2600,5304,52
Xotic,1.04,1,26-25,3985,5258,68
Totals,0.93,-8,112-120,17010,25344,312
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.96,-1,24-25,4550,5834,92
Lucky,1.5,8,24-16,3200,5348,91
MethodZsick,0.7,-7,16-23,2820,3724,46
Mettalz,1.04,1,27-26,3585,4559,38
Sukry,1.32,7,29-22,4265,5695,81
Totals,1.07,8,120-112,18420,25160,348
