100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.21,5,29-24,4155,5674,81
Kenny,1.48,12,37-25,5095,6496,40
Octane,1.16,4,29-25,5165,6782,98
Priestahh,0.69,-10,22-32,3270,4421,75
Slasher,1.5,13,39-26,5280,8063,85
Totals,1.18,24,156-132,22965,31436,379
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.82,-6,28-34,3710,6280,55
Havok,0.93,-2,27-29,3495,4836,33
MajorManiak,1.07,2,30-28,4700,5834,64
Maux,0.53,-15,17-32,2245,4605,66
Nagafen,0.91,-3,30-33,3965,5505,33
Totals,0.85,-24,132-156,18115,27060,251
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.75,3,7-4,1145,1439,0:0
Kenny,2.5,6,10-4,1595,1445,1:1
Octane,0.33,-4,2-6,400,1234,0:1
Priestahh,0.57,-3,4-7,710,683,1:0
Slasher,2.4,7,12-5,1600,2079,3:1
Totals,1.35,9,35-26,5450,6880,5:3
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.14,-6,1-7,300,663,0:0
Havok,0.29,-5,2-7,535,527,0:2
MajorManiak,0.71,-2,5-7,650,1119,1:0
Maux,1.67,4,10-6,1350,1752,0:1
Nagafen,1,0,8-8,1100,1383,2:2
Totals,0.74,-9,26-35,3935,5444,3:5
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.5,-7,7-14,875,1629,0:0
Kenny,0.75,-3,9-12,1465,2037,0:0
Octane,0.73,-3,8-11,1375,2419,0:0
Priestahh,0.36,-9,5-14,850,2030,2:1
Slasher,0.8,-3,12-15,1525,2730,0:0
Totals,0.62,-25,41-66,6090,10845,2:1
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.5,12,20-8,2375,3266,0:0
Havok,1.89,8,17-9,2350,3311,1:1
MajorManiak,0.8,-2,8-10,1775,1955,0:1
Maux,1.71,5,12-7,1935,2372,0:0
Nagafen,1.29,2,9-7,1825,2487,0:0
Totals,1.61,25,66-41,10260,13391,1:2
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.19,5,31-26,4765,5317,32
Kenny,1,0,26-26,4315,6140,61
Octane,0.87,-3,20-23,3680,5213,107
Priestahh,0.93,-2,27-29,3855,5150,94
Slasher,1.15,4,31-27,4770,5907,66
Totals,1.03,4,135-131,21385,27727,360
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.9,-3,27-30,3985,5361,68
Havok,1.4,10,35-25,5160,6070,51
MajorManiak,0.9,-3,26-29,4195,5358,57
Maux,0.81,-5,21-26,3510,5118,57
Nagafen,0.85,-4,22-26,3680,5180,77
Totals,0.96,-5,131-136,20530,27087,310
