Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.56,9,25-16,4645,4713,75
Formal,1.37,7,26-19,3810,5203,79
John,1.87,13,28-15,3520,5255,74
Ricky,1.31,5,21-16,3355,4592,88
Slacked,1.38,6,22-16,3515,3635,115
Totals,1.49,40,122-82,18845,23398,431
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.62,-10,16-26,2100,4510,13
Decemate,0.95,-1,18-19,2430,3421,63
Fero,0.57,-12,16-28,2300,3910,37
Huke,0.7,-7,16-23,2425,3504,24
Silly,0.62,-10,16-26,2555,3493,35
Totals,0.67,-40,82-122,11810,18838,172
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.33,2,8-6,1175,1653,0:1
Formal,3.25,9,13-4,1925,2534,0:1
John,0.22,-7,2-9,200,854,1:3
Ricky,0.75,-2,6-8,995,2418,0:1
Slacked,1.2,1,6-5,1255,1378,1:1
Totals,1.09,3,35-32,5550,8837,2:7
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1,0,6-6,800,1744,1:0
Decemate,0.63,-3,5-8,800,1550,1:0
Fero,1.43,3,10-7,1450,2176,3:0
Huke,1,0,7-7,875,1370,2:2
Silly,0.57,-3,4-7,815,1241,0:0
Totals,0.91,-3,32-35,4740,8081,7:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.87,-2,13-15,2280,2639,0:0
Formal,0.81,-4,17-21,2625,4277,1:1
John,1.2,3,18-15,2975,3571,0:1
Ricky,0.83,-2,10-12,2350,2477,0:0
Slacked,1.41,7,24-17,3675,3778,1:0
Totals,1.03,2,82-80,13905,16742,2:2
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.88,-2,14-16,2175,3702,2:0
Decemate,1.13,2,17-15,2650,3315,0:0
Fero,1.11,2,20-18,2875,4277,0:1
Huke,0.83,-3,15-18,2270,3632,0:1
Silly,0.93,-1,14-15,2205,2691,0:0
Totals,0.98,-2,80-82,12175,17617,2:2
