Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,0.85,-4,23-27,3680,5450,55
Dylan,1.13,4,34-30,6635,7191,93
Seany,0.85,-5,28-33,3960,5621,75
Wuskin,1.11,3,30-27,4840,6052,112
Zed,1.1,3,33-30,5400,6073,74
Totals,1.01,1,148-147,24515,30387,409
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.77,-7,24-31,3680,4864,80
Methodz,1.1,3,32-29,4525,6455,89
Parzelion,0.84,-5,26-31,3935,5601,53
Royalty,0.91,-3,30-33,4935,6417,51
Zaptius,1.42,10,34-24,4740,6901,69
Totals,0.99,-2,146-148,21815,30238,342
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.5,-1,1-2,475,1091,0:0
Dylan,1.75,3,7-4,965,1064,1:1
Seany,3,6,9-3,1850,2412,1:0
Wuskin,1.75,3,7-4,910,1317,2:0
Zed,1,0,5-5,625,852,1:1
Totals,1.61,11,29-18,4825,6736,5:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.67,-2,4-6,575,1138,0:0
Methodz,0.67,-2,4-6,425,1398,0:1
Parzelion,0.2,-4,1-5,300,1111,0:0
Royalty,1,0,6-6,765,1096,1:3
Zaptius,0.5,-3,3-6,700,776,1:1
Totals,0.62,-11,18-29,2765,5519,2:5
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.89,8,17-9,3280,4253,0:0
Dylan,1.44,7,23-16,4360,4526,0:2
Seany,0.89,-2,16-18,3000,3121,1:0
Wuskin,1.36,4,15-11,2475,3088,0:0
Zed,1,0,17-17,2775,3505,0:0
Totals,1.24,17,88-71,15890,18493,1:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1,0,15-15,1820,2942,1:0
Methodz,0.67,-7,14-21,2125,4247,0:0
Parzelion,0.94,-1,16-17,2300,3281,1:0
Royalty,0.62,-8,13-21,1900,3376,0:1
Zaptius,0.93,-1,13-14,2200,2654,0:0
Totals,0.81,-17,71-88,10345,16500,2:1
