Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.28,5,23-18,3590,5085,79
MRuiz,1.25,5,25-20,3405,4950,62
Profeezy,0.85,-3,17-20,3240,3868,46
Skyz,1.88,15,32-17,4990,6002,80
Wailers,1.21,3,17-14,3370,4202,97
Totals,1.28,25,114-89,18595,24107,364
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.91,-2,20-22,2485,4252,46
Arcitys,0.88,-2,14-16,2640,3667,100
Clayster,0.79,-5,19-24,2975,4348,65
Prestinni,0.81,-5,22-27,2875,4610,20
Simp,0.56,-11,14-25,2270,3786,52
Totals,0.78,-25,89-114,13245,20663,283
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.71,-2,5-7,650,1125,3:1
MRuiz,1.75,3,7-4,900,842,0:1
Profeezy,2.33,4,7-3,1375,1242,1:0
Skyz,4,9,12-3,2040,2964,1:0
Wailers,1.25,1,5-4,625,1277,1:0
Totals,1.71,15,36-21,5590,7450,6:2
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.57,-3,4-7,665,820,0:0
Arcitys,0.75,-2,6-8,825,1621,1:0
Clayster,0.83,-1,5-6,855,1251,0:2
Prestinni,0.38,-5,3-8,435,840,1:2
Simp,0.43,-4,3-7,450,824,0:2
Totals,0.58,-15,21-36,3230,5356,2:6
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.93,-1,13-14,1600,2917,0:1
MRuiz,0.67,-4,8-12,1040,1323,0:1
Profeezy,0.4,-9,6-15,750,1756,1:0
Skyz,0.71,-4,10-14,1375,2416,0:0
Wailers,0.62,-5,8-13,1550,2503,0:1
Totals,0.66,-23,45-68,6315,10915,1:3
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.56,5,14-9,2185,2765,0:1
Arcitys,1.2,2,12-10,2525,3284,1:0
Clayster,1.88,7,15-8,2295,3421,1:0
Prestinni,1,0,10-10,1525,2378,0:0
Simp,2.13,9,17-8,2450,2687,1:0
Totals,1.51,23,68-45,10980,14535,3:1
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.9,18,38-20,4770,6801,70
MRuiz,0.61,-11,17-28,3050,3486,60
Profeezy,1.12,3,28-25,4060,5899,89
Skyz,1.12,3,28-25,4445,6090,99
Wailers,0.85,-4,23-27,3465,5026,19
Totals,1.07,9,134-125,19790,27302,337
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.73,-8,22-30,3595,4185,51
Arcitys,1.53,10,29-19,5125,7366,152
Clayster,0.77,-6,20-26,2725,4932,50
Prestinni,0.87,-4,27-31,3820,5663,54
Simp,0.96,-1,27-28,4050,6112,73
Totals,0.93,-9,125-134,19315,28258,380
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.14,1,8-7,1400,1721,1:2
MRuiz,1,0,6-6,1000,1311,0:0
Profeezy,0.75,-2,6-8,950,1391,3:0
Skyz,2,5,10-5,1425,2143,1:0
Wailers,1.6,3,8-5,1450,2734,1:1
Totals,1.23,7,38-31,6225,9300,6:3
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.86,-1,6-7,1060,1713,0:1
Arcitys,0.88,-1,7-8,775,1436,0:1
Clayster,0.63,-3,5-8,525,1634,1:1
Prestinni,0.33,-6,3-9,535,1279,0:3
Simp,1.5,3,9-6,1125,1578,2:0
Totals,0.79,-8,30-38,4020,7640,3:6
