eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.19,5,31-26,4545,5484,98
Arcitys,1.13,3,27-24,4120,5792,95
Clayster,0.96,-1,26-27,4340,4986,51
Prestinni,1.46,13,41-28,5885,7930,81
Simp,0.87,-3,20-23,3750,4597,74
Totals,1.13,17,145-128,22640,28789,399
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.71,-9,22-31,3715,5571,59
Havok,1,0,28-28,5130,5523,77
MajorManiak,1.08,2,28-26,4765,5301,56
Maux,1,0,26-26,3880,5241,57
Nagafen,0.71,-10,24-34,3380,5371,46
Totals,0.88,-17,128-145,20870,27007,295
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.25,-6,2-8,670,926,0:2
Arcitys,0.33,-6,3-9,425,758,1:1
Clayster,1.43,3,10-7,1315,2115,1:2
Prestinni,0.75,-2,6-8,925,1460,1:1
Simp,1.14,1,8-7,1075,1452,0:0
Totals,0.74,-10,29-39,4410,6711,3:6
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.5,3,9-6,1375,1460,1:2
Havok,1.6,3,8-5,965,1297,0:0
MajorManiak,1.4,2,7-5,1175,1232,0:0
Maux,1.5,3,9-6,975,1533,2:0
Nagafen,0.71,-2,5-7,920,1116,3:1
Totals,1.31,9,38-29,5410,6638,
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.06,1,18-17,2825,3039,1:0
Arcitys,0.67,-5,10-15,1675,2926,1:0
Clayster,0.63,-7,12-19,1860,2311,0:0
Prestinni,0.71,-5,12-17,1525,2984,0:1
Simp,1,0,15-15,2550,3043,0:0
Totals,0.81,-16,67-83,10435,14303,2:1
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.53,8,23-15,2950,4074,1:0
Havok,1.5,7,21-14,3125,3374,0:0
MajorManiak,0.39,-11,7-18,1580,2289,0:0
Maux,2.63,13,21-8,2805,3466,0:0
Nagafen,0.92,-1,11-12,2355,2634,0:2
Totals,1.24,16,83-67,12815,15837,1:2
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.85,-4,22-26,3005,4524,45
Arcitys,0.56,-11,14-25,2855,3544,69
Clayster,1.16,4,29-25,4355,5489,50
Prestinni,0.74,-6,17-23,2440,3983,59
Simp,0.92,-2,22-24,3105,4939,70
Totals,0.85,-19,104-123,15760,22479,293
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.4,8,28-20,4190,5639,102
Havok,1.32,7,29-22,3860,5198,89
MajorManiak,1.37,7,26-19,3615,4242,88
Maux,0.68,-7,15-22,2120,4076,32
Nagafen,1.19,4,25-21,4245,5600,76
Totals,1.18,19,123-104,18030,24755,387
