Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1.56,10,28-18,4330,5744,125
Dylan,1.14,4,32-28,4830,6005,56
Seany,0.77,-7,23-30,3215,4413,59
Wuskin,1.35,8,31-23,4650,5621,89
Zed,0.86,-4,24-28,4020,5476,80
Totals,1.09,11,138-127,21045,27259,409
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.52,-14,15-29,2920,4799,79
Decemate,1.12,3,28-25,3790,5490,86
Fero,0.96,-1,25-26,3775,5929,59
Huke,1.21,6,34-28,4880,6339,45
Silly,0.8,-6,24-30,3315,4710,27
Totals,0.91,-12,126-138,18680,27267,296
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1,0,5-5,825,1076,0:0
Dylan,1.13,1,9-8,940,1595,1:3
Seany,1,0,6-6,975,2175,1:1
Wuskin,1,0,7-7,880,1261,2:0
Zed,2.5,6,10-4,1675,1638,0:2
Totals,1.23,7,37-30,5295,7745,4:6
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.71,-2,5-7,800,1896,0:1
Decemate,0.71,-2,5-7,750,1442,0:1
Fero,1.17,1,7-6,1050,1073,1:1
Huke,0.89,-1,8-9,925,1913,5:0
Silly,0.5,-4,4-8,955,1171,0:1
Totals,0.78,-8,29-37,4480,7495,6:4
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.73,11,26-15,3745,5668,0:1
Dylan,0.96,-1,23-24,3575,4708,0:1
Seany,0.72,-7,18-25,2900,3971,0:0
Wuskin,0.95,-1,20-21,3655,4733,0:0
Zed,1.05,1,23-22,3200,4700,2:0
Totals,1.03,3,110-107,17075,23780,2:2
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.86,-3,19-22,3120,5057,1:1
Decemate,0.9,-2,18-20,3200,3779,0:1
Fero,0.96,-1,24-25,3475,5057,0:0
Huke,1.1,2,23-21,3700,4748,0:0
Silly,0.96,-1,22-23,3325,4778,1:0
Totals,0.95,-5,106-111,16820,23419,2:2
