Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.28,5,23-18,2895,5148,58
Lacefield,0.91,-2,20-22,2925,4446,4
LlamaGod,1,0,18-18,2765,2958,49
Parasite,0.75,-5,15-20,2445,2851,98
Saints,0.67,-8,16-24,2735,3325,33
Totals,0.9,-10,92-102,13765,18728,242
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.37,7,26-19,4225,4779,101
Bance,0.95,-1,19-20,3260,3797,58
Brack,0.86,-3,18-21,2790,3536,79
Joee,1.28,5,23-18,3300,4216,21
Rated,1.14,2,16-14,2645,3693,70
Totals,1.11,10,102-92,16220,20021,329
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.57,-3,4-7,875,1222,0:1
Lacefield,3,10,15-5,1850,2644,1:0
LlamaGod,0.5,-4,4-8,640,1156,1:1
Parasite,1.14,1,8-7,975,1791,2:1
Saints,0.86,-1,6-7,875,1492,2:1
Totals,1.09,3,37-34,5215,8305,6:4
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.89,-1,8-9,1075,1953,1:0
Bance,1,0,6-6,1175,1403,0:3
Brack,0.88,-1,7-8,975,1574,1:2
Joee,1.8,4,9-5,1635,1073,1:0
Rated,0.44,-5,4-9,625,1147,1:1
Totals,0.92,-3,34-37,5485,7150,4:6
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.81,-4,17-21,2625,0,1:0
Lacefield,1.05,1,22-21,3475,4369,1:0
LlamaGod,0.75,-4,12-16,2165,4153,0:0
Parasite,0.94,-1,17-18,3440,4920,1:1
Saints,0.75,-6,18-24,2500,4420,0:0
Totals,0.86,-14,86-100,14205,17862,3:1
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.87,13,28-15,3975,5734,1:0
Bance,0.42,-11,8-19,2125,3122,0:0
Brack,1.81,13,29-16,3685,5638,0:1
Joee,1.2,4,24-20,3275,4683,0:2
Rated,0.69,-5,11-16,2050,3797,0:0
Totals,1.16,14,100-86,15110,22974,1:3
