Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.27,4,19-15,2945,3909,88
General,1.06,1,18-17,3650,3927,94
GodRx,1.92,12,25-13,4105,4311,96
Jetli,1.38,5,18-13,2510,2911,77
Kismet,1.05,1,21-20,3030,4359,63
Totals,1.29,23,101-78,16240,19417,418
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.95,-1,18-19,2660,3687,43
Lucky,0.89,-2,16-18,2195,4192,86
MethodZsick,0.65,-7,13-20,1790,2660,37
Mettalz,0.9,-2,19-21,2980,3903,32
Sukry,0.52,-11,12-23,2100,2884,53
Totals,0.77,-23,78-101,11725,17326,251
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.4,-3,2-5,550,619,0:2
General,0.67,-2,4-6,625,963,1:0
GodRx,2.5,6,10-4,1375,1731,2:1
Jetli,4,9,12-3,1625,1881,0:0
Kismet,0.83,-1,5-6,950,829,0:1
Totals,1.38,9,33-24,5125,6023,3:4
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.57,-3,4-7,840,1441,0:1
Lucky,1.5,3,9-6,925,1199,2:1
MethodZsick,0.83,-1,5-6,725,959,0:1
Mettalz,0.29,-5,2-7,200,753,1:0
Sukry,0.57,-3,4-7,400,1286,1:0
Totals,0.73,-9,24-33,3090,5638,4:3
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.73,-7,19-26,3375,4754,0:0
General,0.78,-6,21-27,3150,5600,2:1
GodRx,1.05,1,22-21,3210,5089,0:0
Jetli,1.07,2,30-28,4700,5548,0:0
Kismet,1.26,7,34-27,5205,6968,1:1
Totals,0.98,-3,126-129,19640,27959,3:2
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.12,3,29-26,5205,5496,1:0
Lucky,1.05,1,23-22,3775,5380,0:0
MethodZsick,0.85,-4,23-27,3275,4669,0:0
Mettalz,1.15,4,30-26,3895,5369,0:2
Sukry,0.96,-1,24-25,4675,6465,1:1
Totals,1.02,3,129-126,20825,27379,2:3
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.05,1,20-19,3015,3237,55
General,1.05,1,21-20,3410,4481,82
GodRx,0.79,-5,19-24,2870,4631,47
Jetli,0.73,-6,16-22,2925,3982,54
Kismet,1,0,19-19,3210,4599,75
Totals,0.91,-9,95-104,15430,20930,313
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.31,5,21-16,3415,5272,39
Lucky,1.67,12,30-18,4375,5363,89
MethodZsick,0.74,-6,17-23,2265,3906,42
Mettalz,1.14,3,24-21,3230,4595,35
Sukry,0.71,-5,12-17,2770,3886,138
Totals,1.09,9,104-95,16055,23022,343
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.5,2,6-4,1050,1318,1:0
General,0.67,-2,4-6,925,1287,1:2
GodRx,3.5,10,14-4,1935,2109,2:0
Jetli,1.75,3,7-4,1150,1257,0:1
Kismet,0.83,-1,5-6,925,1050,0:1
Totals,1.5,12,36-24,5985,7021,4:4
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.25,-6,2-8,555,971,0:0
Lucky,0.25,-6,2-8,300,763,0:3
MethodZsick,1.33,2,8-6,1025,1536,1:0
Mettalz,0.57,-3,4-7,540,1190,1:0
Sukry,1.14,1,8-7,1275,2532,2:1
Totals,0.67,-12,24-36,3695,6992,4:4
