OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.91,-3,29-32,4310,7130,45
Dashy,1.07,2,32-30,5010,7312,58
Karma,0.79,-8,31-39,4560,6576,89
Scump,0.8,-6,24-30,4140,5782,37
TJHaly,0.89,-4,32-36,4555,5825,75
Totals,0.89,-19,148-167,22575,32625,304
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.09,3,35-32,4800,6452,77
Bance,0.9,-3,28-31,4540,5978,90
Brack,2.04,24,47-23,6715,7352,135
Joee,0.91,-3,29-32,4470,5448,53
Rated,0.9,-3,27-30,4350,6702,86
Totals,1.12,18,166-148,24875,31932,441
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.83,-1,5-6,950,1534,0:1
Dashy,0.44,-5,4-9,550,675,2:0
Karma,0.63,-3,5-8,925,1340,0:0
Scump,1.14,1,8-7,1225,1665,3:1
TJHaly,1,0,7-7,925,1544,2:0
Totals,0.78,-8,29-37,4575,6758,7:2
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.83,-1,5-6,650,1176,0:2
Bance,0.86,-1,6-7,725,963,1:0
Brack,1.33,2,8-6,1055,1686,0:1
Joee,2.2,6,11-5,1425,1677,1:3
Rated,1.4,2,7-5,1375,1447,0:1
Totals,1.28,8,37-29,5230,6949,2:7
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.07,1,16-15,2785,3918,0:0
Dashy,1.69,9,22-13,3125,4953,0:0
Karma,1.05,1,21-20,2900,3584,2:1
Scump,1.11,2,20-18,3080,3969,0:1
TJHaly,1.06,1,18-17,3100,4451,0:0
Totals,1.17,14,97-83,14990,20875,2:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.95,-1,19-20,2900,3874,2:1
Bance,0.64,-8,14-22,2785,4315,0:0
Brack,0.94,-1,16-17,2650,3071,0:0
Joee,0.79,-4,15-19,2350,3264,0:1
Rated,1,0,19-19,3225,3811,0:0
Totals,0.86,-14,83-97,13910,18335,2:2
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.81,-4,17-21,2460,4157,53
Dashy,1.33,6,24-18,3570,4575,65
Karma,1.24,5,26-21,3600,5254,66
Scump,1.11,2,20-18,3470,3747,72
TJHaly,1.35,7,27-20,3275,4821,67
Totals,1.16,16,114-98,16375,22554,323
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.29,6,27-21,3600,5438,52
Bance,0.58,-10,14-24,2200,2916,88
Brack,1.22,4,22-18,2935,3871,44
Joee,0.69,-9,20-29,2840,4855,24
Rated,0.64,-8,14-22,2590,3967,51
Totals,0.85,-17,97-114,14165,21047,259
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.5,2,6-4,850,941,2:1
Dashy,1.6,3,8-5,875,1356,1:0
Karma,0.75,-1,3-4,525,853,1:0
Scump,1,0,5-5,680,975,0:0
TJHaly,1.4,2,7-5,1100,1497,0:1
Totals,1.26,6,29-23,4030,5622,4:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.5,-3,3-6,725,792,1:0
Bance,1,0,6-6,750,1050,0:0
Brack,1.33,2,8-6,905,1298,0:0
Joee,0.75,-1,3-4,325,522,1:2
Rated,0.43,-4,3-7,300,744,0:2
Totals,0.79,-6,23-29,3005,4406,2:4
