Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.65,-9,17-26,3130,4475,55
Attach,1.43,10,33-23,4420,6206,90
JKap,0.82,-4,18-22,2565,3968,73
Phantomz,1.28,5,23-18,3985,5216,74
Xotic,0.83,-4,19-23,3410,4773,23
Totals,0.98,-2,110-112,17510,24638,315
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.92,-2,22-24,3310,4935,20
Jurd,0.88,-3,21-24,3230,4738,68
Loony,1.35,6,23-17,3380,4402,88
Nolson,0.86,-3,19-22,3105,4835,44
Temp,1.17,4,27-23,3975,5813,86
Totals,1.02,2,112-110,17000,24723,306
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.63,-3,5-8,540,986,1:3
Attach,1.43,3,10-7,1350,2141,3:0
JKap,1,0,8-8,1150,1720,2:0
Phantomz,1.33,2,8-6,1400,2214,1:0
Xotic,1.5,3,9-6,1695,1785,0:0
Totals,1.14,5,40-35,6135,8846,7:3
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1,0,9-9,1100,1824,1:0
Jurd,0.5,-4,4-8,925,1449,0:3
Loony,2.5,9,15-6,2330,2401,1:0
Nolson,0.63,-3,5-8,735,1097,0:1
Temp,0.22,-7,2-9,400,1441,1:3
Totals,0.88,-5,35-40,5490,8212,3:7
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.76,-9,28-37,3500,5089,1:2
Attach,1.44,11,36-25,5195,7391,0:0
JKap,0.83,-4,20-24,3100,4194,1:0
Phantomz,0.82,-3,14-17,2850,5513,0:0
Xotic,1.08,2,27-25,3650,6083,0:1
Totals,0.98,-3,125-128,18295,28270,2:3
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.67,-9,18-27,3260,5600,0:1
Jurd,0.92,-2,23-25,4375,5775,1:0
Loony,0.78,-6,21-27,4240,4304,0:0
Nolson,1.17,4,27-23,4405,3998,0:0
Temp,1.63,15,39-24,5075,8060,2:1
Totals,1.02,2,128-126,21355,27737,3:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1,0,20-20,2780,3597,22
Attach,0.67,-7,14-21,2430,2835,61
JKap,0.89,-2,17-19,2225,3928,17
Phantomz,0.81,-3,13-16,3060,3871,84
Xotic,0.74,-5,14-19,2375,3238,102
Totals,0.82,-17,78-95,12870,17469,286
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.14,2,16-14,2995,3680,71
Jurd,1.38,6,22-16,3535,4658,84
Loony,1.4,6,21-15,3050,3923,87
Nolson,1,0,15-15,3415,3247,56
Temp,1.17,3,21-18,3340,4803,76
Totals,1.22,17,95-78,16335,20311,374
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.67,-3,6-9,780,1901,2:3
Attach,1.33,2,8-6,1150,1272,1:0
JKap,0.78,-2,7-9,925,1581,0:1
Phantomz,1,0,7-7,1100,2266,1:0
Xotic,0.89,-1,8-9,1105,1270,0:2
Totals,0.9,-4,36-40,5060,8290,4:6
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.63,-3,5-8,650,1273,0:1
Jurd,0.86,-1,6-7,975,1588,2:0
Loony,1.67,4,10-6,1660,1741,1:0
Nolson,1.11,1,10-9,1050,1761,1:0
Temp,1.13,1,9-8,1800,2130,2:3
Totals,1.05,2,40-38,6135,8493,6:4
