Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.3,6,26-20,3750,4906,71
Formal,0.9,-2,19-21,3085,4598,94
John,1,0,20-20,2290,4252,24
Ricky,0.65,-8,15-23,2335,3666,109
Slacked,0.67,-9,18-27,2780,4435,39
Totals,0.88,-13,98-111,14240,21857,337
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.23,5,27-22,3930,4692,42
Methodz,1.12,2,19-17,2990,4079,72
Parzelion,1.3,6,26-20,3735,6023,59
Royalty,1.1,2,22-20,3020,4673,68
Zaptius,0.89,-2,17-19,3170,3389,59
Totals,1.13,13,111-98,16845,22856,300
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0,-7,0-7,100,328,0:0
Formal,1,0,6-6,825,1037,2:2
John,0.83,-1,5-6,625,972,1:0
Ricky,0.14,-6,1-7,425,920,0:1
Slacked,0.57,-3,4-7,500,1080,0:1
Totals,0.48,-17,16-33,2475,4337,3:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,2,3,6-3,700,1043,1:0
Methodz,0.8,-1,4-5,475,1165,1:2
Parzelion,8.5,15,17-2,2345,3021,0:0
Royalty,1,0,3-3,520,666,1:0
Zaptius,1,0,3-3,950,1064,1:1
Totals,2.06,17,33-16,4990,6959,4:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.11,3,30-27,4600,5721,0:0
Formal,1.68,15,37-22,4950,8092,0:1
John,0.61,-11,17-28,3000,4293,1:0
Ricky,0.63,-10,17-27,3140,4265,1:0
Slacked,0.92,-2,22-24,3375,4454,2:0
Totals,0.96,-5,123-128,19065,26825,4:1
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1,0,25-25,4300,5626,0:1
Methodz,1.65,13,33-20,4920,6769,0:0
Parzelion,0.72,-7,18-25,3640,5773,0:1
Royalty,1,0,34-34,4395,6250,1:2
Zaptius,0.95,-1,18-19,3905,4190,0:0
Totals,1.04,5,128-123,21160,28608,1:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.48,11,34-23,5060,5684,74
Formal,1.13,3,26-23,4475,5747,140
John,0.7,-8,19-27,2950,4389,15
Ricky,1.1,2,23-21,3330,4555,105
Slacked,0.92,-2,24-26,3315,4855,21
Totals,1.05,6,126-120,19130,25230,355
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.26,5,24-19,3150,4686,99
Methodz,1.11,3,30-27,3790,6685,28
Parzelion,0.73,-8,22-30,3770,5694,66
Royalty,0.75,-7,21-28,3675,4520,97
Zaptius,1.05,1,23-22,3800,4588,58
Totals,0.95,-6,120-126,18185,26173,348
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.56,-4,5-9,925,1479,0:3
Formal,0.67,-3,6-9,875,1946,1:2
John,1.33,3,12-9,1575,1923,1:0
Ricky,2.8,9,14-5,2070,2760,0:0
Slacked,0.11,-8,1-9,340,1037,1:1
Totals,0.93,-3,38-41,5785,9145,3:6
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.57,4,11-7,1900,2435,2:1
Methodz,1,0,7-7,1050,2215,0:0
Parzelion,1,0,9-9,1675,2335,1:0
Royalty,0.75,-2,6-8,740,1124,3:1
Zaptius,1.14,1,8-7,1600,1295,0:1
Totals,1.08,3,41-38,6965,9404,6:3
