100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.83,-4,20-24,3300,3891,54
Kenny,0.81,-5,21-26,3395,4795,60
Octane,1.18,4,26-22,4150,4514,101
Priestahh,1.08,2,27-25,4210,4856,54
Slasher,1.04,1,27-26,3945,5341,107
Totals,0.98,-2,121-123,19000,23397,376
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1,0,26-26,4000,5781,67
MRuiz,1.2,4,24-20,3515,4200,52
Profeezy,0.7,-10,23-33,3285,4745,46
Skyz,1,0,26-26,3760,4727,62
Wailers,1.5,8,24-16,4405,5080,85
Totals,1.02,2,123-121,18965,24533,312
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.78,-2,7-9,1190,1873,1:0
Kenny,1,0,7-7,1035,1417,2:2
Octane,1.56,5,14-9,1775,2994,1:1
Priestahh,0.88,-1,7-8,1035,1114,1:2
Slasher,0.78,-2,7-9,1100,2223,1:0
Totals,1,0,42-42,6135,9621,6:5
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,2.13,9,17-8,2575,3307,2:2
MRuiz,1.14,1,8-7,1575,1872,0:1
Profeezy,0.5,-5,5-10,815,1210,0:1
Skyz,0.7,-3,7-10,1255,2174,1:1
Wailers,0.56,-4,5-9,575,1449,2:1
Totals,0.95,-2,42-44,6795,10012,5:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.58,-8,11-19,1585,2645,0:1
Kenny,2.08,14,27-13,3970,4890,0:0
Octane,1.29,5,22-17,3505,4758,1:0
Priestahh,0.79,-4,15-19,2450,3326,0:2
Slasher,1.14,2,16-14,2750,4197,0:0
Totals,1.11,9,91-82,14260,19816,1:3
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.28,5,23-18,3025,5244,2:0
MRuiz,1,0,16-16,2545,3399,0:0
Profeezy,0.77,-5,17-22,2550,3411,0:0
Skyz,0.94,-1,16-17,2500,3337,1:1
Wailers,0.56,-8,10-18,1700,3002,0:0
Totals,0.9,-9,82-91,12320,18393,3:1
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.61,-11,17-28,2420,3917,35
Kenny,0.76,-5,16-21,2570,3752,55
Octane,1,0,20-20,4175,5710,89
Priestahh,1.17,4,27-23,3890,4756,85
Slasher,1.37,7,26-19,3665,5502,100
Totals,0.95,-5,106-111,16720,23637,364
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.09,2,24-22,3995,5357,36
MRuiz,0.72,-5,13-18,3040,3523,76
Profeezy,0.9,-2,19-21,2835,3689,71
Skyz,1.21,5,29-24,3900,5317,47
Wailers,1.24,5,26-21,3585,4895,18
Totals,1.05,5,111-106,17355,22781,248
