Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.77,-5,17-22,2700,4062,27
Lucky,0.77,-5,17-22,2510,4005,93
MethodZsick,0.83,-4,19-23,2345,3405,52
Mettalz,0.75,-6,18-24,2325,3723,54
Sukry,0.85,-3,17-20,2475,4561,69
Totals,0.79,-23,88-111,12355,19756,295
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,0.87,-2,13-15,2205,3924,96
Dylan,1.8,16,36-20,4520,7119,62
Seany,0.91,-2,20-22,3025,4243,39
Wuskin,1,0,18-18,2445,3672,51
Zed,1.85,11,24-13,3180,4420,94
Totals,1.26,23,111-88,15375,23378,342
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.33,-4,2-6,550,947,0:1
Lucky,1,0,4-4,450,802,1:0
MethodZsick,1,0,6-6,825,1154,0:0
Mettalz,0.5,-3,3-6,395,699,1:1
Sukry,0.17,-5,1-6,125,713,1:1
Totals,0.57,-12,16-28,2345,4315,3:3
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,9,8,9-1,1295,1754,1:0
Dylan,2.67,5,8-3,1050,1167,0:0
Seany,0.83,-1,5-6,925,1277,2:2
Wuskin,0.75,-1,3-4,410,675,0:1
Zed,1.5,1,3-2,625,769,0:0
Totals,1.75,12,28-16,4305,5642,3:3
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.95,-1,19-20,3985,4008,1:0
Lucky,1.17,3,21-18,4200,5993,0:0
MethodZsick,1,0,22-22,3850,3935,1:0
Mettalz,0.93,-2,25-27,3725,4969,2:1
Sukry,1,0,22-22,3575,6134,0:0
Totals,1,0,109-109,19335,25039,4:1
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.14,2,16-14,3285,4518,1:1
Dylan,1.15,4,31-27,4600,6316,0:1
Seany,1.05,1,23-22,3450,5699,0:0
Wuskin,0.71,-7,17-24,3045,3515,0:0
Zed,1,0,22-22,3075,4151,0:2
Totals,1,0,109-109,17455,24199,1:4
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.91,-2,20-22,2845,3825,57
Lucky,1.06,1,18-17,2560,4299,43
MethodZsick,1.16,3,22-19,3215,4099,76
Mettalz,1.05,1,23-22,3210,4375,55
Sukry,0.75,-5,15-20,2580,3967,132
Totals,0.98,-2,98-100,14410,20565,363
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1.12,2,19-17,3220,4251,126
Dylan,0.88,-3,22-25,3080,5193,27
Seany,1.18,3,20-17,3295,4139,60
Wuskin,0.9,-2,18-20,3190,3740,56
Zed,1.11,2,21-19,2880,4342,33
Totals,1.02,2,100-98,15665,21665,302
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.17,1,7-6,880,1132,1:0
Lucky,2.17,7,13-6,1650,2164,0:1
MethodZsick,0.67,-3,6-9,1025,765,0:1
Mettalz,1,0,5-5,630,981,0:2
Sukry,1.6,3,8-5,1350,2461,2:2
Totals,1.26,8,39-31,5535,7503,3:6
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.5,3,9-6,1400,1485,0:1
Dylan,0.89,-1,8-9,1135,1595,5:0
Seany,0.33,-6,3-9,450,959,1:1
Wuskin,0.5,-4,4-8,470,984,0:0
Zed,0.67,-3,6-9,700,1409,0:1
Totals,0.73,-11,30-41,4155,6432,6:3
