eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.91,10,21-11,2790,3867,54
Arcitys,2.3,13,23-10,4370,5096,123
Clayster,1.73,8,19-11,2885,3544,54
Prestinni,1.06,1,18-17,2375,3876,47
Simp,1.91,10,21-11,3180,3391,54
Totals,1.7,42,102-60,15600,19774,332
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.35,-13,7-20,1775,3147,23
Bance,0.48,-11,10-21,1940,2339,23
Brack,0.74,-5,14-19,1915,3017,21
Joee,0.65,-8,15-23,2100,2997,9
Rated,0.74,-5,14-19,1675,3127,10
Totals,0.59,-42,60-102,9405,14627,86
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.67,2,5-3,650,876,0:0
Arcitys,2.25,5,9-4,1725,1844,2:0
Clayster,0.75,-1,3-4,665,922,0:1
Prestinni,1.25,1,5-4,850,842,1:1
Simp,5.5,9,11-2,1230,1524,1:0
Totals,1.94,16,33-17,5120,6008,4:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.57,-3,4-7,425,1046,0:0
Bance,0.57,-3,4-7,425,714,1:1
Brack,0.33,-4,2-6,215,450,0:0
Joee,0.5,-3,3-6,395,878,0:2
Rated,0.57,-3,4-7,600,863,1:1
Totals,0.52,-16,17-33,2060,3951,2:4
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.44,7,23-16,3500,4029,0:1
Arcitys,1.06,1,19-18,2825,4475,1:0
Clayster,1.56,9,25-16,3755,4292,1:0
Prestinni,1.09,2,24-22,4070,5237,0:1
Simp,0.75,-5,15-20,2975,3469,0:0
Totals,1.15,14,106-92,17125,21502,2:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.92,-2,22-24,3050,3720,0:0
Bance,0.71,-6,15-21,2425,3889,0:1
Brack,0.73,-6,16-22,2000,4022,0:1
Joee,0.79,-5,19-24,2725,3886,1:0
Rated,1.33,5,20-15,2925,4391,1:0
Totals,0.87,-14,92-106,13125,19908,2:2
