Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.83,-4,19-23,2655,4740,34
MRuiz,1.17,3,21-18,3255,3989,48
Profeezy,1.1,2,23-21,3020,4606,39
Skyz,2.17,14,26-12,3795,5421,112
Wailers,0.94,-1,15-16,2880,4012,133
Totals,1.16,14,104-90,15605,22768,366
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.65,-7,13-20,2140,4175,97
Jurd,0.84,-4,21-25,3255,5313,29
Loony,0.9,-2,18-20,2840,3671,55
Nolson,0.95,-1,20-21,2920,3426,74
Temp,0.94,-1,17-18,2920,5122,75
Totals,0.86,-15,89-104,14075,21707,330
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.6,-4,6-10,675,1613,1:2
MRuiz,0.5,-4,4-8,525,1639,1:0
Profeezy,1.13,1,9-8,1275,1661,0:1
Skyz,0.75,-2,6-8,875,1965,0:1
Wailers,0.43,-4,3-7,600,1303,0:3
Totals,0.68,-13,28-41,3950,8181,2:7
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.83,5,11-6,1300,1749,2:0
Jurd,1.4,2,7-5,1325,2156,0:0
Loony,1,0,7-7,1255,1573,3:1
Nolson,1,0,6-6,875,1426,1:0
Temp,2,4,8-4,1575,1680,1:1
Totals,1.39,11,39-28,6330,8584,7:2
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.83,-2,10-12,1325,2387,0:0
MRuiz,2.14,8,15-7,3200,2757,1:0
Profeezy,0.67,-4,8-12,1325,2191,1:0
Skyz,3.88,23,31-8,3555,4661,1:0
Wailers,3,12,18-6,2480,3216,0:0
Totals,1.82,37,82-45,11885,15212,3:0
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.61,-7,11-18,1450,2492,0:1
Jurd,0.24,-16,5-21,925,1876,0:2
Loony,0.92,-1,12-13,1505,2285,0:0
Nolson,0.53,-7,8-15,1415,2235,0:0
Temp,0.6,-6,9-15,1400,2953,0:0
Totals,0.55,-37,45-82,6695,11841,0:3
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.75,-6,18-24,2535,4118,38
MRuiz,0.77,-5,17-22,2190,3049,32
Profeezy,0.71,-6,15-21,2865,4062,47
Skyz,0.95,-1,21-22,2715,4151,22
Wailers,0.64,-8,14-22,1890,3485,44
Totals,0.77,-26,85-111,12195,18865,183
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.73,11,26-15,3865,4607,119
Jurd,1.05,1,20-19,3505,4563,83
Loony,1.28,5,23-18,3205,4282,84
Nolson,1.57,8,22-14,3220,3802,77
Temp,1.05,1,20-19,2970,4566,38
Totals,1.31,26,111-85,16765,21820,401
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.63,-3,5-8,500,1860,1:2
MRuiz,0.57,-3,4-7,950,903,1:0
Profeezy,0.2,-8,2-10,600,1321,0:0
Skyz,1.83,5,11-6,1505,2423,1:2
Wailers,1,0,8-8,1025,1844,1:2
Totals,0.77,-9,30-39,4580,8351,4:6
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,2.25,5,9-4,1350,1537,1:1
Jurd,0.33,-4,2-6,825,821,0:0
Loony,1,0,6-6,1750,1726,2:0
Nolson,1,0,7-7,850,1580,3:1
Temp,2,7,14-7,1895,1982,0:2
Totals,1.27,8,38-30,6670,7646,6:4
