FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.94,-1,16-17,2330,2846,69
Cellium,2.14,8,15-7,2505,3433,49
Skrapz,2.1,11,21-10,3645,4790,116
Zer0,1,0,15-15,1910,3095,39
Zoomaa,1.85,11,24-13,3320,4100,106
Totals,1.47,29,91-62,13710,18264,379
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.43,-12,9-21,1265,2475,12
Formal,0.89,-2,16-18,2330,3154,19
John,0.81,-3,13-16,1375,2648,11
Ricky,0.42,-11,8-19,1475,2606,2
Slacked,0.94,-1,16-17,2305,3392,22
Totals,0.68,-29,62-91,8750,14275,66
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.3,-7,3-10,300,1345,1:1
Cellium,1,0,7-7,875,1840,1:1
Skrapz,1.43,3,10-7,1350,1930,0:0
Zer0,0.5,-3,3-6,475,711,2:2
Zoomaa,0.3,-7,3-10,400,1141,1:1
Totals,0.65,-14,26-40,3400,6967,5:5
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,2.5,6,10-4,1950,2161,3:0
Formal,2.2,6,11-5,1350,1694,1:2
John,0.5,-4,4-8,650,1044,0:1
Ricky,0.4,-3,2-5,625,767,0:1
Slacked,2,5,10-5,1255,1395,1:1
Totals,1.37,10,37-27,5830,7061,5:5
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.46,-14,12-26,2525,3776,1:1
Cellium,1.6,12,32-20,4300,5901,0:0
Skrapz,1,0,19-19,3450,4591,0:0
Zer0,1.85,11,24-13,3080,4359,1:0
Zoomaa,0.96,-1,24-25,3390,4944,0:0
Totals,1.08,8,111-103,16745,23571,2:1
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.73,-6,16-22,2805,3461,0:0
Formal,0.95,-1,21-22,2700,4380,0:0
John,1.22,5,28-23,3775,4857,1:1
Ricky,0.67,-8,16-24,2850,3820,0:0
Slacked,1.1,2,22-20,3185,4202,0:1
Totals,0.93,-8,103-111,15315,20720,1:2
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,2,12,24-12,3300,4179,72
Cellium,1.23,3,16-13,2960,3610,71
Skrapz,2.73,19,30-11,3925,5379,122
Zer0,1.6,6,16-10,2250,3351,20
Zoomaa,1.14,2,16-14,2685,3394,81
Totals,1.7,42,102-60,15120,19913,366
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.63,-7,12-19,1915,2420,6
Formal,0.26,-17,6-23,1075,2393,3
John,0.63,-7,12-19,1800,3055,8
Ricky,0.43,-13,10-23,1275,2641,34
Slacked,1.11,2,20-18,3030,3925,25
Totals,0.59,-42,60-102,9095,14434,76
