Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.59,-9,13-22,2065,3937,36
General,1.75,9,21-12,3605,4766,52
GodRx,2,15,30-15,4740,5241,78
Jetli,0.79,-4,15-19,2420,3605,67
Kismet,1.35,6,23-17,3375,4145,105
Totals,1.2,17,102-85,16205,21694,338
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.59,-9,13-22,1975,3062,87
Havok,0.96,-1,23-24,2775,4523,9
MajorManiak,1.19,3,19-16,2755,3487,39
Maux,0.56,-8,10-18,2090,3891,55
Nagafen,0.91,-2,20-22,2540,3926,43
Totals,0.83,-17,85-102,12135,18889,233
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.43,-4,3-7,575,1440,0:2
General,0.83,-1,5-6,925,1134,0:1
GodRx,2,8,16-8,1975,3590,2:0
Jetli,0.13,-7,1-8,200,658,0:1
Kismet,1,0,8-8,1350,1468,2:2
Totals,0.89,-4,33-37,5025,8290,4:6
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.43,3,10-7,1400,2250,3:1
Havok,1.14,1,8-7,1040,1536,1:2
MajorManiak,1,0,6-6,825,1252,0:0
Maux,0.83,-1,5-6,1000,1723,1:1
Nagafen,1.14,1,8-7,1110,1583,1:0
Totals,1.12,4,37-33,5375,8344,6:4
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.22,4,22-18,3440,3947,1:1
General,1.12,2,19-17,3800,4465,0:0
GodRx,1.44,7,23-16,4105,5114,0:0
Jetli,1.1,2,23-21,3650,3953,1:1
Kismet,1.35,7,27-20,4135,4931,0:0
Totals,1.24,22,114-92,19130,22410,2:2
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.76,-6,19-25,2525,5252,1:0
Havok,0.86,-3,18-21,2725,3606,0:1
MajorManiak,0.83,-4,19-23,2955,3926,1:0
Maux,1.1,2,23-21,3775,5331,0:0
Nagafen,0.54,-11,13-24,2450,3566,0:1
Totals,0.81,-22,92-114,14430,21681,2:2
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.88,-3,23-26,3500,4599,76
General,0.87,-3,20-23,3275,4457,68
GodRx,1.4,10,35-25,4755,5893,55
Jetli,0.72,-7,18-25,3050,4100,60
Kismet,0.86,-4,24-28,3805,5685,65
Totals,0.94,-7,120-127,18385,24734,324
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.24,6,31-25,4310,5598,75
Havok,1.03,1,31-30,4110,6116,56
MajorManiak,1.18,3,20-17,3435,3963,71
Maux,0.92,-2,23-25,4335,5918,72
Nagafen,0.91,-2,21-23,3525,4569,124
Totals,1.05,6,126-120,19715,26164,398
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.67,-2,4-6,475,735,0:0
General,1.17,1,7-6,1000,1466,1:1
GodRx,0.43,-4,3-7,425,899,1:0
Jetli,0,-6,0-6,230,575,0:1
Kismet,0.5,-3,3-6,475,1106,0:3
Totals,0.55,-14,17-31,2605,4781,2:5
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.8,-1,4-5,675,1387,1:2
Havok,1.25,1,5-4,650,743,0:0
MajorManiak,2,4,8-4,1310,1257,1:0
Maux,2,3,6-3,775,1259,1:0
Nagafen,8,7,8-1,1645,1766,2:0
Totals,1.82,14,31-17,5055,6412,5:2
