eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.23,5,27-22,3865,4742,84
Arcitys,0.77,-5,17-22,3420,4498,95
Clayster,0.76,-6,19-25,3190,4592,41
Prestinni,0.7,-8,19-27,2305,4065,20
Simp,1.47,8,25-17,3770,5074,113
Totals,0.95,-6,107-113,16550,22971,353
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1,0,21-21,3720,4743,70
Lucky,1.17,3,21-18,3240,4085,112
MethodZsick,0.9,-2,19-21,3525,3899,34
Mettalz,1.15,4,30-26,3785,5568,41
Sukry,1.05,1,22-21,3625,5098,88
Totals,1.06,6,113-107,17895,23393,345
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.29,2,9-7,1350,1834,2:1
Arcitys,0.88,-1,7-8,950,1628,2:0
Clayster,0.71,-2,5-7,825,1433,1:2
Prestinni,0.89,-1,8-9,1435,1777,2:1
Simp,2.2,6,11-5,1525,2550,0:0
Totals,1.11,4,40-36,6085,9222,7:4
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1,0,8-8,1495,1910,0:2
Lucky,0.56,-4,5-9,550,1017,1:0
MethodZsick,1.14,1,8-7,1150,1437,3:1
Mettalz,1.25,2,10-8,1495,1874,0:0
Sukry,0.56,-4,5-9,750,1564,0:4
Totals,0.88,-5,36-41,5440,7802,4:7
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.1,2,22-20,3325,5006,0:1
Arcitys,0.85,-4,22-26,3200,3989,1:1
Clayster,0.85,-4,22-26,3445,5284,0:0
Prestinni,0.79,-5,19-24,2875,3999,2:0
Simp,1.19,5,31-26,4150,5428,0:0
Totals,0.95,-6,116-122,16995,23706,3:2
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1,0,25-25,3445,5192,0:0
Lucky,1.3,6,26-20,3925,5735,1:1
MethodZsick,0.88,-3,21-24,3180,4950,0:1
Mettalz,1.04,1,26-25,3575,5593,1:1
Sukry,1,0,23-23,3250,4819,0:0
Totals,1.03,4,121-117,17375,26289,2:3
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.04,1,26-25,4060,5673,65
Arcitys,1.64,9,23-14,3660,5842,111
Clayster,1.14,3,25-22,3805,4788,71
Prestinni,1.22,5,28-23,4335,5346,73
Simp,0.8,-5,20-25,2900,4712,77
Totals,1.12,13,122-109,18760,26361,397
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.15,4,31-27,4800,5450,61
Lucky,0.64,-8,14-22,2825,4287,86
MethodZsick,1.23,5,27-22,3525,5418,57
Mettalz,0.67,-9,18-27,3215,4252,68
Sukry,0.75,-6,18-24,2775,3776,66
Totals,0.89,-14,108-122,17140,23183,338
