Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.96,-1,24-25,3705,5133,82
General,1.53,9,26-17,4175,5334,133
GodRx,1.38,8,29-21,4345,5642,49
Jetli,1.37,10,37-27,5170,5934,42
Kismet,0.67,-10,20-30,3495,5402,44
Totals,1.13,16,136-120,20890,27445,350
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.67,-9,18-27,2380,4817,37
Lacefield,0.72,-8,21-29,3485,4720,50
LlamaGod,1.08,2,28-26,4605,5004,72
Parasite,0.67,-9,18-27,2685,4838,65
Saints,1.25,7,35-28,4225,6075,44
Totals,0.88,-17,120-137,17380,25454,268
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.5,-4,4-8,525,1374,0:0
General,0.78,-2,7-9,925,1192,1:2
GodRx,0.88,-1,7-8,1030,1544,0:0
Jetli,1.13,1,9-8,1150,1978,2:3
Kismet,1.67,4,10-6,1750,1902,0:2
Totals,0.95,-2,37-39,5380,7990,3:7
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1,0,7-7,895,1599,1:2
Lacefield,1,0,7-7,1375,1707,2:1
LlamaGod,0.67,-3,6-9,1235,1593,2:0
Parasite,1.43,3,10-7,1625,2100,1:0
Saints,1.29,2,9-7,1475,1410,1:0
Totals,1.05,2,39-37,6605,8409,7:3
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.87,-3,20-23,3355,4442,0:1
General,1,0,23-23,3950,4496,1:0
GodRx,2.21,17,31-14,4870,6590,0:0
Jetli,0.58,-13,18-31,2725,4346,2:0
Kismet,1.04,1,27-26,3475,5413,0:1
Totals,1.02,2,119-117,18375,25287,3:2
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.04,1,25-24,3690,5777,0:3
Lacefield,1.17,4,27-23,3975,4921,1:0
LlamaGod,0.77,-5,17-22,2510,4064,0:0
Parasite,0.93,-2,26-28,3985,5260,0:0
Saints,0.96,-1,22-23,3925,5478,1:0
Totals,0.98,-3,117-120,18085,25500,2:3
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,1.05,1,23-22,3810,4306,77
General,1.79,11,25-14,4415,5746,46
GodRx,1.05,1,23-22,3715,4464,115
Jetli,1.13,3,26-23,3550,5427,63
Kismet,0.84,-4,21-25,3365,4597,29
Totals,1.11,12,118-106,18855,24540,330
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.13,3,27-24,3930,4990,81
Lacefield,0.7,-8,19-27,2855,4317,18
LlamaGod,0.9,-2,19-21,3470,3924,82
Parasite,0.95,-1,19-20,3205,4716,59
Saints,0.85,-4,22-26,3030,4791,35
Totals,0.9,-12,106-118,16490,22738,275
