100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.88,-3,22-25,4025,5276,59
Kenny,0.57,-15,20-35,3600,5303,57
Octane,1.52,14,41-27,4990,7122,94
Priestahh,0.56,-15,19-34,2525,4523,57
Slasher,0.69,-9,20-29,3050,4274,80
Totals,0.81,-28,122-150,18190,26498,347
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.88,-3,21-24,3425,5428,32
Dashy,2.33,28,49-21,5755,8706,69
Karma,0.86,-4,24-28,3655,4747,61
Scump,1.17,4,28-24,4285,5363,54
TJHaly,1.08,2,27-25,4730,4908,125
Totals,1.22,27,149-122,21850,29152,341
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.67,-2,4-6,880,958,0:0
Kenny,2.33,8,14-6,1800,2410,2:0
Octane,1.14,1,8-7,1025,1556,2:2
Priestahh,1.2,1,6-5,955,940,1:2
Slasher,1.33,1,4-3,1250,1259,0:0
Totals,1.33,9,36-27,5910,7123,5:4
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.86,-1,6-7,865,1931,0:1
Dashy,1.14,1,8-7,1100,1846,2:0
Karma,0.57,-3,4-7,475,974,0:1
Scump,0.57,-3,4-7,855,765,1:1
TJHaly,0.63,-3,5-8,625,1772,1:2
Totals,0.75,-9,27-36,3920,7288,4:5
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.19,4,25-21,4095,4888,0:1
Kenny,1.2,5,30-25,4605,5689,0:1
Octane,1.53,9,26-17,4775,6123,0:0
Priestahh,1.17,4,28-24,3575,5960,0:1
Slasher,1,0,21-21,2950,4821,1:1
Totals,1.2,22,130-108,20000,27481,1:4
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.68,-7,15-22,3390,4329,0:0
Dashy,0.74,-7,20-27,2650,4873,0:0
Karma,0.92,-2,23-25,3425,4495,1:0
Scump,0.85,-4,23-27,4125,4696,1:0
TJHaly,0.93,-2,27-29,3750,6439,2:1
Totals,0.83,-22,108-130,17340,24832,4:1
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.83,-5,24-29,3550,5012,61
Kenny,0.73,-7,19-26,2740,4191,74
Octane,0.75,-8,24-32,4025,6748,79
Priestahh,1.15,4,30-26,3920,5021,53
Slasher,1.46,11,35-24,4485,6198,81
Totals,0.96,-5,132-137,18720,27170,348
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.88,-3,22-25,3105,4826,22
Dashy,1.39,9,32-23,4165,6258,52
Karma,0.96,-1,26-27,3755,4954,60
Scump,0.84,-5,26-31,3210,5178,36
TJHaly,1.19,5,31-26,4480,6174,101
Totals,1.04,5,137-132,18715,27390,271
