Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.64,-8,14-22,2255,3063,61
General,1.35,7,27-20,3665,4681,59
GodRx,0.87,-3,20-23,3230,5205,29
Jetli,0.5,-14,14-28,2190,3943,70
Kismet,0.84,-4,21-25,3460,3764,53
Totals,0.81,-22,96-118,14800,20656,272
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.7,14,34-20,5015,6211,92
Cellium,1.44,7,23-16,4150,5010,63
Skrapz,1.56,9,25-16,4175,4210,112
Zer0,0.7,-7,16-23,2720,3507,43
Zoomaa,0.95,-1,20-21,3995,4219,53
Totals,1.23,22,118-96,20055,23157,363
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.5,-4,4-8,450,907,1:0
General,0.5,-4,4-8,650,1701,0:1
GodRx,0.71,-2,5-7,740,1843,2:0
Jetli,1,0,6-6,1025,1675,2:1
Kismet,0.86,-1,6-7,1550,1263,1:2
Totals,0.69,-11,25-36,4415,7389,6:4
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.5,-4,4-8,780,859,2:2
Cellium,1.75,3,7-4,1225,1839,1:0
Skrapz,1.25,1,5-4,675,1050,0:1
Zer0,2,4,8-4,1050,1668,0:2
Zoomaa,2.2,6,11-5,1485,2423,1:1
Totals,1.4,10,35-25,5215,7839,4:6
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.06,1,17-16,1975,3043,0:0
General,0.79,-4,15-19,2685,3881,0:0
GodRx,1.4,6,21-15,3180,3324,0:1
Jetli,0.62,-8,13-21,1475,2324,2:0
Kismet,0.8,-4,16-20,2350,4025,1:0
Totals,0.9,-9,82-91,11665,16597,3:1
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.38,6,22-16,3245,4240,1:1
Cellium,1.47,8,25-17,3345,5268,0:1
Skrapz,0.67,-6,12-18,2125,2483,0:1
Zer0,1,0,12-12,2225,3251,0:0
Zoomaa,1.05,1,20-19,2895,3933,0:0
Totals,1.11,9,91-82,13835,19175,1:3
