eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.17,3,21-18,3715,4029,105
Arcitys,0.84,-3,16-19,2635,3107,69
Clayster,1.05,1,21-20,3965,4096,53
Prestinni,1.13,3,27-24,3795,5133,41
Simp,1.61,11,29-18,4240,6141,101
Totals,1.15,15,114-99,18350,22506,369
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.64,-9,16-25,2380,4118,72
Dashy,1.09,2,24-22,3090,4638,19
Karma,0.91,-2,21-23,2930,3403,38
Scump,0.88,-3,21-24,2965,4408,40
TJHaly,0.81,-4,17-21,2895,4517,79
Totals,0.86,-16,99-115,14260,21084,248
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.83,-1,5-6,675,1032,0:1
Arcitys,0.33,-4,2-6,600,695,0:0
Clayster,0.17,-5,1-6,225,898,0:2
Prestinni,0.86,-1,6-7,825,870,2:2
Simp,0.17,-5,1-6,100,553,0:0
Totals,0.48,-16,15-31,2425,4048,2:5
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.2,1,6-5,650,1081,2:1
Dashy,2,2,4-2,575,886,1:0
Karma,3,4,6-2,800,1251,1:1
Scump,2,3,6-3,1065,784,1:0
TJHaly,3,6,9-3,1225,2115,0:0
Totals,2.07,16,31-15,4315,6117,5:2
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.16,3,22-19,2875,4260,0:0
Arcitys,0.78,-4,14-18,2200,3572,0:0
Clayster,0.65,-7,13-20,2675,3690,0:1
Prestinni,0.57,-9,12-21,2075,3204,1:0
Simp,1.1,2,22-20,3225,3770,0:2
Totals,0.85,-15,83-98,13050,18496,1:3
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.47,-10,9-19,1400,4133,1:0
Dashy,1.71,10,24-14,3655,5304,0:0
Karma,1.24,4,21-17,3450,4013,1:0
Scump,1.41,7,24-17,4145,3824,1:0
TJHaly,1.25,4,20-16,3400,3672,0:1
Totals,1.18,15,98-83,16050,20946,3:1
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.71,-8,20-28,3655,4050,73
Arcitys,0.62,-10,16-26,3095,4864,61
Clayster,1.26,6,29-23,3990,5177,39
Prestinni,1.07,2,29-27,4195,4863,67
Simp,0.95,-1,21-22,3370,4541,75
Totals,0.91,-11,115-126,18305,23495,315
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.82,14,31-17,5125,6365,76
Dashy,1.09,2,24-22,4080,5951,75
Karma,0.78,-5,18-23,2930,4137,63
Scump,1.16,4,29-25,4015,4416,60
TJHaly,0.86,-4,24-28,3825,5101,84
Totals,1.1,11,126-115,19975,25970,358
