FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.82,-4,18-22,3105,3235,98
Cellium,1.18,4,26-22,4175,5171,135
Skrapz,1.89,17,36-19,4980,6810,77
Zer0,1.67,12,30-18,4440,5225,69
Zoomaa,1.19,4,25-21,4385,5184,67
Totals,1.32,33,135-102,21085,25625,446
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.95,-1,19-20,3050,5296,44
Dashy,1.09,2,25-23,3435,4672,81
Karma,0.63,-12,20-32,2800,4657,25
Scump,0.66,-10,19-29,2805,5011,43
TJHaly,0.61,-12,19-31,2540,4398,26
Totals,0.76,-33,102-135,14630,24034,219
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.63,-3,5-8,590,1121,1:2
Cellium,1.25,2,10-8,1275,2190,3:1
Skrapz,0.88,-1,7-8,1150,1548,0:1
Zer0,0.78,-2,7-9,750,1276,0:2
Zoomaa,0.43,-4,3-7,425,1093,0:0
Totals,0.8,-8,32-40,4190,7228,4:6
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.86,-1,6-7,650,1667,2:1
Dashy,2,5,10-5,1550,1723,2:0
Karma,0.25,-6,2-8,375,1261,0:1
Scump,1.29,2,9-7,1545,1245,0:1
TJHaly,1.83,5,11-6,1300,1949,2:1
Totals,1.15,5,38-33,5420,7845,6:4
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.64,-8,14-22,2275,2774,0:0
Cellium,1.06,1,17-16,2350,4069,1:1
Skrapz,1.13,2,18-16,2835,4208,0:0
Zer0,1.25,3,15-12,2610,4297,1:0
Zoomaa,0.85,-3,17-20,2385,3517,1:0
Totals,0.94,-5,81-86,12455,18865,3:1
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.92,11,23-12,3425,4481,0:0
Dashy,1.2,3,18-15,2775,4661,0:1
Karma,0.78,-4,14-18,2550,3564,0:0
Scump,1.07,1,16-15,2915,4178,0:1
TJHaly,0.71,-6,15-21,2100,3924,1:1
Totals,1.06,5,86-81,13765,20808,1:3
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.31,5,21-16,3380,3271,145
Cellium,0.82,-4,18-22,2765,3879,55
Skrapz,1.93,14,29-15,3585,5424,87
Zer0,0.65,-7,13-20,2345,3886,32
Zoomaa,0.87,-3,20-23,3370,4204,51
Totals,1.05,5,101-96,15445,20664,370
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.33,5,20-15,2950,4920,82
Dashy,1.38,6,22-16,3165,4238,72
Karma,0.58,-10,14-24,2160,3784,44
Scump,0.79,-5,19-24,3050,3462,33
TJHaly,0.95,-1,21-22,2985,4720,79
Totals,0.95,-5,96-101,14310,21124,310
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.71,-2,5-7,700,969,1:1
Cellium,0.86,-1,6-7,775,1173,0:0
Skrapz,0.29,-5,2-7,300,654,0:2
Zer0,0.5,-3,3-6,550,874,1:0
Zoomaa,0.43,-4,3-7,375,889,1:2
Totals,0.56,-15,19-34,2700,4559,3:5
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,3-3,375,897,1:2
Dashy,2.67,5,8-3,1050,1377,1:0
Karma,1,0,4-4,650,816,0:1
Scump,0.75,-1,3-4,725,1023,1:0
TJHaly,2.6,8,13-5,1675,2171,2:0
Totals,1.63,12,31-19,4475,6284,5:3
