FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.71,-7,17-24,2650,3718,68
Cellium,0.81,-4,17-21,2910,4319,81
Skrapz,1.33,5,20-15,2955,3457,59
Zer0,1.82,9,20-11,2965,3591,117
Zoomaa,1.39,7,25-18,3255,4339,31
Totals,1.11,10,99-89,14735,19424,356
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.75,-5,15-20,2830,3710,73
Jurd,0.86,-3,18-21,2870,3911,39
Loony,0.62,-8,13-21,1915,2767,30
Nolson,0.67,-7,14-21,1895,2987,38
Temp,1.71,12,29-17,3160,5523,42
Totals,0.89,-11,89-100,12670,18898,222
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.38,-5,3-8,450,1225,1:2
Cellium,0.71,-2,5-7,750,1456,0:1
Skrapz,1.6,3,8-5,1175,1729,0:1
Zer0,1.71,5,12-7,1450,2598,3:0
Zoomaa,1.29,2,9-7,1250,1553,2:0
Totals,1.09,3,37-34,5075,8561,6:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.75,-2,6-8,975,1857,1:1
Jurd,1.38,3,11-8,1550,2116,2:0
Loony,1,0,7-7,1415,1638,1:1
Nolson,0.38,-5,3-8,350,704,0:2
Temp,1,0,7-7,1000,1873,0:2
Totals,0.89,-4,34-38,5290,8188,4:6
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.92,-1,12-13,2300,2646,0:1
Cellium,1.88,7,15-8,2475,3209,0:0
Skrapz,1.5,4,12-8,1950,2687,0:1
Zer0,2.22,11,20-9,2550,3038,0:0
Zoomaa,1.5,6,18-12,2775,3140,1:0
Totals,1.54,27,77-50,12050,14720,1:2
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.33,4,16-12,2100,3005,0:0
Jurd,0.38,-10,6-16,1050,1948,0:0
Loony,0.61,-7,11-18,1750,2073,1:0
Nolson,0.35,-11,6-17,765,1542,0:1
Temp,0.79,-3,11-14,1675,3144,1:0
Totals,0.65,-27,50-77,7340,11712,2:1
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.83,-4,20-24,3230,4443,48
Cellium,1.83,15,33-18,4690,6078,38
Skrapz,0.87,-3,20-23,2960,4941,94
Zer0,1.5,8,24-16,3545,4373,100
Zoomaa,0.59,-9,13-22,2010,3364,23
Totals,1.07,7,110-103,16435,23199,303
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.05,1,23-22,3230,3994,78
Jurd,0.86,-3,19-22,2890,3552,33
Loony,1.14,3,24-21,3855,4933,59
Nolson,0.61,-9,14-23,2270,3619,71
Temp,1,0,22-22,4070,5242,69
Totals,0.93,-8,102-110,16315,21340,310
