eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.29,7,31-24,4510,4967,118
Arcitys,0.91,-2,21-23,3095,4791,108
Clayster,0.64,-12,21-33,3470,5590,44
Prestinni,0.93,-2,28-30,3775,6287,30
Simp,1.12,3,29-26,4460,6471,106
Totals,0.96,-6,130-136,19310,28106,406
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1.24,4,21-17,3865,5302,90
Dylan,1.29,9,40-31,4985,7676,62
Seany,0.93,-2,28-30,4115,5589,41
Wuskin,0.77,-6,20-26,3610,5316,66
Zed,1.04,1,27-26,3795,5057,71
Totals,1.05,6,136-130,20370,28940,330
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.25,2,10-8,1805,1771,0:2
Arcitys,0.88,-1,7-8,1175,1769,2:1
Clayster,1.43,3,10-7,1675,1912,1:0
Prestinni,0.45,-6,5-11,825,1635,1:3
Simp,1.43,3,10-7,1375,2037,0:1
Totals,1.02,1,42-41,6855,9124,4:7
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1,0,8-8,1500,1946,2:0
Dylan,1.25,2,10-8,1375,2010,0:2
Seany,0.9,-1,9-10,1325,1977,2:2
Wuskin,0.38,-5,3-8,500,802,1:0
Zed,1.38,3,11-8,1700,1814,2:0
Totals,0.98,-1,41-42,6400,8549,7:4
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.62,-5,8-13,1575,1880,0:1
Arcitys,1.78,7,16-9,3000,4139,0:0
Clayster,1.09,1,12-11,2700,2860,0:1
Prestinni,1.27,3,14-11,2425,3004,1:0
Simp,1.54,7,20-13,3400,3246,0:0
Totals,1.23,13,70-57,13100,15129,1:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.36,4,15-11,1800,3347,2:0
Dylan,0.59,-7,10-17,1175,2961,0:0
Seany,0.35,-11,6-17,1125,1951,0:1
Wuskin,1,0,12-12,1590,2946,0:0
Zed,1,0,13-13,1675,2304,0:0
Totals,0.8,-14,56-70,7365,13509,2:1
