Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.35,6,23-17,3690,4450,99
MRuiz,0.88,-2,15-17,3260,3843,34
Profeezy,1.24,4,21-17,3535,4136,59
Skyz,1.53,8,23-15,3800,4232,69
Wailers,0.94,-1,16-17,2370,3202,57
Totals,1.18,15,98-83,16655,19863,318
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.67,-7,14-21,1790,2650,23
Methodz,1.14,3,24-21,2980,5093,26
Parzelion,0.69,-5,11-16,1825,3824,78
Royalty,0.95,-1,18-19,2695,3813,60
Zaptius,0.73,-6,16-22,2630,3400,35
Totals,0.84,-16,83-99,11920,18780,222
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,6-6,950,1712,0:2
MRuiz,1.14,1,8-7,875,1340,0:1
Profeezy,1,0,6-6,1115,1097,0:0
Skyz,0.71,-2,5-7,730,1442,1:4
Wailers,1,0,6-6,1150,1858,1:0
Totals,0.97,-1,31-32,4820,7449,2:7
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1,0,6-6,1110,1227,2:0
Methodz,0.86,-1,6-7,775,1177,2:0
Parzelion,1.17,1,7-6,1100,1843,0:0
Royalty,1.13,1,9-8,1000,1768,3:1
Zaptius,0.67,-2,4-6,1125,1217,0:1
Totals,0.97,-1,32-33,5110,7232,7:2
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.5,4,12-8,2375,2290,0:0
MRuiz,1.75,6,14-8,2405,2315,1:0
Profeezy,0.64,-4,7-11,1675,2009,0:0
Skyz,2.25,10,18-8,2545,3462,0:1
Wailers,1.6,3,8-5,2460,2250,0:1
Totals,1.48,19,59-40,11460,12326,1:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.67,-4,8-12,1490,2061,0:0
Methodz,0.67,-3,6-9,1050,2025,0:0
Parzelion,0.46,-7,6-13,800,1639,0:0
Royalty,0.92,-1,12-13,1550,2723,2:0
Zaptius,0.62,-5,8-13,1225,1522,0:1
Totals,0.67,-20,40-60,6115,9970,2:1
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.65,-6,11-17,2040,3159,54
MRuiz,0.41,-10,7-17,1245,2355,34
Profeezy,0.42,-11,8-19,1090,2078,14
Skyz,0.82,-3,14-17,2055,2690,19
Wailers,0.89,-2,16-18,2145,4091,18
Totals,0.64,-32,56-88,8575,14373,139
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.56,5,14-9,1980,2960,42
Methodz,1.83,10,22-12,3020,4547,87
Parzelion,1.55,6,17-11,2685,2836,71
Royalty,1.62,8,21-13,2820,3573,50
Zaptius,1.27,3,14-11,2355,3028,114
Totals,1.57,32,88-56,12860,16944,364
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.71,5,12-7,1450,2320,1:0
MRuiz,1.2,1,6-5,875,1567,0:0
Profeezy,0.71,-2,5-7,1105,950,0:3
Skyz,0.83,-1,5-6,825,904,1:2
Wailers,1.2,1,6-5,900,1168,1:1
Totals,1.13,4,34-30,5155,6909,3:6
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.33,2,8-6,1050,1383,1:0
Methodz,2,5,10-5,1250,1823,3:1
Parzelion,0.5,-4,4-8,875,1422,0:1
Royalty,0.5,-4,4-8,700,1226,1:1
Zaptius,0.43,-4,3-7,600,1255,1:0
Totals,0.85,-5,29-34,4475,7109,6:3
