100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.04,1,24-23,3180,4336,77
Kenny,1.13,3,27-24,3975,5380,46
Octane,2.24,21,38-17,4995,6562,116
Priestahh,1.19,5,32-27,3975,5652,64
Slasher,0.96,-1,25-26,3505,5821,31
Totals,1.25,29,146-117,19630,27751,334
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.67,-10,20-30,3100,4244,28
Formal,1.14,4,33-29,4980,7395,24
John,0.86,-4,24-28,3625,4930,53
Ricky,0.74,-8,23-31,3955,4033,72
Slacked,0.61,-11,17-28,2735,3669,47
Totals,0.8,-29,117-146,18395,24271,224
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.63,-3,5-8,825,1261,0:1
Kenny,0.14,-6,1-7,535,443,0:1
Octane,2,5,10-5,1450,2166,4:0
Priestahh,3.5,10,14-4,1920,1953,1:1
Slasher,0.83,-1,5-6,675,1328,1:0
Totals,1.17,5,35-30,5405,7151,6:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.14,1,8-7,1200,1788,0:0
Formal,0.86,-1,6-7,900,1698,1:2
John,0.75,-2,6-8,825,1254,1:4
Ricky,0.5,-4,4-8,450,680,1:0
Slacked,1,0,6-6,1150,1302,0:0
Totals,0.83,-6,30-36,4525,6722,3:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.22,2,11-9,1870,2611,0:0
Kenny,2.18,13,24-11,3465,4070,1:0
Octane,0.79,-3,11-14,2125,3359,1:0
Priestahh,1.5,6,18-12,2900,3305,1:0
Slasher,1.67,8,20-12,2650,3852,0:0
Totals,1.45,26,84-58,13010,17197,3:0
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.4,-9,6-15,1345,1924,0:0
Formal,0.88,-2,14-16,1800,3271,0:1
John,0.81,-4,17-21,2150,3249,0:1
Ricky,0.53,-8,9-17,1675,2394,0:1
Slacked,0.8,-3,12-15,1725,2767,0:0
Totals,0.69,-26,58-84,8695,13605,0:3
