Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.48,10,31-21,4970,6331,80
Havok,1.1,2,23-21,3765,4329,74
MajorManiak,1,0,21-21,3060,3951,47
Maux,1.14,3,25-22,4350,6543,35
Nagafen,0.83,-4,19-23,2935,5402,93
Totals,1.1,11,119-108,19080,26556,329
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.14,3,25-22,3885,5168,61
Decemate,0.96,-1,22-23,3400,3880,55
Fero,1.29,6,27-21,4055,5853,18
Huke,0.62,-10,16-26,2450,3974,41
Silly,0.67,-9,18-27,3200,4013,64
Totals,0.91,-11,108-119,16990,22888,239
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.2,6,11-5,1350,2314,0:0
Havok,1.17,1,7-6,1045,1193,1:3
MajorManiak,0.63,-3,5-8,550,1235,0:1
Maux,1.4,2,7-5,1125,2139,1:1
Nagafen,1,0,7-7,1150,1280,0:1
Totals,1.19,6,37-31,5220,8161,2:6
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.67,-3,6-9,625,1979,1:1
Decemate,1.5,3,9-6,1525,1562,0:0
Fero,0.38,-5,3-8,525,1518,1:1
Huke,1.25,2,10-8,1175,1388,3:0
Silly,0.5,-3,3-6,850,1355,1:0
Totals,0.84,-6,31-37,4700,7802,6:2
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.22,11,20-9,3150,3876,1:0
Havok,1.91,10,21-11,3175,3233,1:1
MajorManiak,0.9,-1,9-10,1680,1624,0:0
Maux,0.89,-1,8-9,2000,2224,0:0
Nagafen,2.67,10,16-6,2505,3235,0:0
Totals,1.64,29,74-45,12510,14192,2:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.36,-9,5-14,1150,2063,0:0
Decemate,0.86,-2,12-14,1700,2285,0:0
Fero,0.43,-8,6-14,1075,2483,0:0
Huke,0.56,-7,9-16,1325,2337,1:0
Silly,0.75,-4,12-16,1650,2593,0:2
Totals,0.59,-30,44-74,6900,11761,1:2
