Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.62,-13,21-34,2865,4328,51
Attach,1.42,10,34-24,4650,5791,45
JKap,0.67,-9,18-27,3400,5437,88
Phantomz,0.85,-4,23-27,3335,5489,81
Xotic,0.67,-10,20-30,3400,4883,40
Totals,0.82,-26,116-142,17650,25928,305
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.48,11,34-23,4620,6607,59
Dashy,1.89,17,36-19,5640,6216,85
Karma,0.68,-9,19-28,2765,4521,57
Scump,1.1,2,23-21,3860,4559,94
TJHaly,1.16,4,29-25,4210,6197,71
Totals,1.22,25,141-116,21095,28100,366
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.6,-2,3-5,525,983,0:2
Attach,1.6,3,8-5,1175,1143,1:0
JKap,1,0,5-5,725,754,0:1
Phantomz,4,9,12-3,1900,2005,4:0
Xotic,0.83,-1,5-6,930,1447,0:0
Totals,1.38,9,33-24,5255,6332,5:3
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.71,-2,5-7,600,1353,0:1
Dashy,0.86,-1,6-7,900,1660,1:0
Karma,0.57,-3,4-7,475,890,1:1
Scump,0.5,-3,3-6,400,1073,0:1
TJHaly,1,0,6-6,650,1415,1:2
Totals,0.73,-9,24-33,3025,6391,3:5
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.78,-4,14-18,1900,3181,0:1
Attach,1.08,1,14-13,1910,3056,0:0
JKap,0.65,-6,11-17,1600,3192,1:0
Phantomz,1.3,3,13-10,1650,2671,0:0
Xotic,0.81,-3,13-16,1875,2884,0:1
Totals,0.88,-9,65-74,8935,14984,1:2
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.47,-9,8-17,1100,3004,0:0
Dashy,1.27,3,14-11,2400,2596,1:0
Karma,1.23,3,16-13,2425,3007,1:0
Scump,1.36,5,19-14,3045,3210,0:0
TJHaly,1.7,7,17-10,2575,3858,0:1
Totals,1.14,9,74-65,11545,15675,2:1
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.8,-4,16-20,2260,3461,40
Attach,1.19,3,19-16,2710,3783,26
JKap,0.39,-14,9-23,1045,2659,21
Phantomz,0.88,-2,14-16,2135,2770,32
Xotic,0.58,-8,11-19,1735,2610,56
Totals,0.73,-25,69-94,9885,15283,175
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.06,1,17-16,2400,3361,41
Dashy,2.7,17,27-10,3750,4522,113
Karma,0.88,-2,15-17,1840,3231,29
Scump,0.87,-2,13-15,2625,2792,84
TJHaly,2,11,22-11,2820,4454,69
Totals,1.36,25,94-69,13435,18360,336
