100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.29,1.34,14,55-41,8270,10220
Kenny,1.22,1.06,3,51-48,8025,11492
Octane,1.25,1.25,11,55-44,8430,11775
Priestahh,0.77,0.9,-5,45-50,6510,10496
Slasher,1.24,1.28,13,59-46,8120,11816
Totals,1.14,1.16,36,265-229,39355,55799
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.19,1.15,8,61-53,8520,13594
Exceed,0.73,0.72,-17,44-61,6965,10124
Linney,1.02,0.86,-7,44-51,6350,9423
Proto,0.85,0.96,-2,52-54,6795,9859
Tommey,0.5,0.57,-21,28-49,5255,7386
Totals,0.86,0.85,-39,229-268,33885,50386
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.29,1.34,14,55-41,8270,10220
Kenny,1.22,1.06,3,51-48,8025,11492
Octane,1.25,1.25,11,55-44,8430,11775
Priestahh,0.77,0.9,-5,45-50,6510,10496
Slasher,1.24,1.28,13,59-46,8120,11816
Totals,1.14,1.16,36,265-229,39355,55799
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.19,1.15,8,61-53,8520,13594
Exceed,0.73,0.72,-17,44-61,6965,10124
Linney,1.02,0.86,-7,44-51,6350,9423
Proto,0.85,0.96,-2,52-54,6795,9859
Tommey,0.5,0.57,-21,28-49,5255,7386
Totals,0.86,0.85,-39,229-268,33885,50386
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,1.29,1.34,14,55-41,8270,10220
Kenny,1.22,1.06,3,51-48,8025,11492
Octane,1.25,1.25,11,55-44,8430,11775
Priestahh,0.77,0.9,-5,45-50,6510,10496
Slasher,1.24,1.28,13,59-46,8120,11816
Totals,1.14,1.16,36,265-229,39355,55799
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.19,1.15,8,61-53,8520,13594
Exceed,0.73,0.72,-17,44-61,6965,10124
Linney,1.02,0.86,-7,44-51,6350,9423
Proto,0.85,0.96,-2,52-54,6795,9859
Tommey,0.5,0.57,-21,28-49,5255,7386
Totals,0.86,0.85,-39,229-268,33885,50386
