Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.78,0.75,-16,48-64,7250,11620
DraMa,1.03,1.06,4,72-68,9535,13723
GloFrosty,0.89,0.84,-11,56-67,8000,15026
Ramby,0.74,0.72,-19,49-68,6940,11319
Teddyrecks,0.73,0.71,-23,56-79,8550,12191
Totals,0.83,0.81,-65,281-346,40275,63879
Midnight,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,1.5,1.55,28,79-51,11845,14148
LlamaGod,1.25,1.25,11,55-44,10735,12918
Parasite,1.31,1.42,22,75-53,11410,14335
Royalty,0.93,0.89,-8,65-73,9505,13879
Zaptius,1.14,1.2,12,72-60,10810,13657
Totals,1.2,1.23,65,346-281,54305,68937
Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.78,0.75,-16,48-64,7250,11620
DraMa,1.03,1.06,4,72-68,9535,13723
GloFrosty,0.89,0.84,-11,56-67,8000,15026
Ramby,0.74,0.72,-19,49-68,6940,11319
Teddyrecks,0.73,0.71,-23,56-79,8550,12191
Totals,0.83,0.81,-65,281-346,40275,63879
Midnight,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,1.5,1.55,28,79-51,11845,14148
LlamaGod,1.25,1.25,11,55-44,10735,12918
Parasite,1.31,1.42,22,75-53,11410,14335
Royalty,0.93,0.89,-8,65-73,9505,13879
Zaptius,1.14,1.2,12,72-60,10810,13657
Totals,1.2,1.23,65,346-281,54305,68937
Fury Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.78,0.75,-16,48-64,7250,11620
DraMa,1.03,1.06,4,72-68,9535,13723
GloFrosty,0.89,0.84,-11,56-67,8000,15026
Ramby,0.74,0.72,-19,49-68,6940,11319
Teddyrecks,0.73,0.71,-23,56-79,8550,12191
Totals,0.83,0.81,-65,281-346,40275,63879
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,1.5,1.55,28,79-51,11845,14148
LlamaGod,1.25,1.25,11,55-44,10735,12918
Parasite,1.31,1.42,22,75-53,11410,14335
Royalty,0.93,0.89,-8,65-73,9505,13879
Zaptius,1.14,1.2,12,72-60,10810,13657
Totals,1.2,1.23,65,346-281,54305,68937
Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.78,0.75,-16,48-64,7250,11620
DraMa,1.03,1.06,4,72-68,9535,13723
GloFrosty,0.89,0.84,-11,56-67,8000,15026
Ramby,0.74,0.72,-19,49-68,6940,11319
Teddyrecks,0.73,0.71,-23,56-79,8550,12191
Totals,0.83,0.81,-65,281-346,40275,63879
Midnight,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,1.5,1.55,28,79-51,11845,14148
LlamaGod,1.25,1.25,11,55-44,10735,12918
Parasite,1.31,1.42,22,75-53,11410,14335
Royalty,0.93,0.89,-8,65-73,9505,13879
Zaptius,1.14,1.2,12,72-60,10810,13657
Totals,1.2,1.23,65,346-281,54305,68937
