Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.96,1,0,38-38,6145,7876
Formal,1.11,1.09,4,48-44,6665,12057
John,0.91,0.98,-1,42-43,6395,7995
Skyz,0.79,0.76,-10,32-42,5925,8874
Slacked,0.66,0.63,-17,29-46,4730,7158
Totals,0.88,0.89,-24,189-213,29860,43960
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,1.06,1.05,2,43-41,7115,8479
CleanX,1.2,1.17,7,48-41,7520,10310
detain,1.12,1.13,5,44-39,7020,9409
Insight,1.04,1.03,1,34-33,5820,8131
Keza,1.08,1.17,6,42-36,7190,8826
Totals,1.1,1.11,21,211-190,34665,45155
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.96,1,0,38-38,6145,7876
Formal,1.11,1.09,4,48-44,6665,12057
John,0.91,0.98,-1,42-43,6395,7995
Skyz,0.79,0.76,-10,32-42,5925,8874
Slacked,0.66,0.63,-17,29-46,4730,7158
Totals,0.88,0.89,-24,189-213,29860,43960
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,1.06,1.05,2,43-41,7115,8479
CleanX,1.2,1.17,7,48-41,7520,10310
detain,1.12,1.13,5,44-39,7020,9409
Insight,1.04,1.03,1,34-33,5820,8131
Keza,1.08,1.17,6,42-36,7190,8826
Totals,1.1,1.11,21,211-190,34665,45155
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,0.96,1,0,38-38,6145,7876
Formal,1.11,1.09,4,48-44,6665,12057
John,0.91,0.98,-1,42-43,6395,7995
Skyz,0.79,0.76,-10,32-42,5925,8874
Slacked,0.66,0.63,-17,29-46,4730,7158
Totals,0.88,0.89,-24,189-213,29860,43960
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,1.06,1.05,2,43-41,7115,8479
CleanX,1.2,1.17,7,48-41,7520,10310
detain,1.12,1.13,5,44-39,7020,9409
Insight,1.04,1.03,1,34-33,5820,8131
Keza,1.08,1.17,6,42-36,7190,8826
Totals,1.1,1.11,21,211-190,34665,45155
