Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.19,3,19-16,3075,3770,119
Lucky,1.4,6,21-15,2820,4691,57
MethodZsick,1.57,8,22-14,3475,4308,116
Mettalz,1,0,19-19,2915,4083,39
Wartex,1.44,7,23-16,3425,4266,61
Totals,1.3,24,104-80,15710,21118,392
Hybrid Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,0.84,-3,16-19,2015,3295,38
Jintroid,0.9,-2,19-21,2745,4452,29
Pandur,0.72,-5,13-18,3160,3320,74
Spoof,0.74,-6,17-23,2625,3604,19
Stamino,0.65,-8,15-23,1950,3571,15
Totals,0.77,-24,80-104,12495,18242,175
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.19,3,19-16,3075,3770,119
Lucky,1.4,6,21-15,2820,4691,57
MethodZsick,1.57,8,22-14,3475,4308,116
Mettalz,1,0,19-19,2915,4083,39
Wartex,1.44,7,23-16,3425,4266,61
Totals,1.3,24,104-80,15710,21118,392
Hybrid Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,0.84,-3,16-19,2015,3295,38
Jintroid,0.9,-2,19-21,2745,4452,29
Pandur,0.72,-5,13-18,3160,3320,74
Spoof,0.74,-6,17-23,2625,3604,19
Stamino,0.65,-8,15-23,1950,3571,15
Totals,0.77,-24,80-104,12495,18242,175
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.19,3,19-16,3075,3770,119
Lucky,1.4,6,21-15,2820,4691,57
MethodZsick,1.57,8,22-14,3475,4308,116
Mettalz,1,0,19-19,2915,4083,39
Wartex,1.44,7,23-16,3425,4266,61
Totals,1.3,24,104-80,15710,21118,392
Hybrid Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,0.84,-3,16-19,2015,3295,38
Jintroid,0.9,-2,19-21,2745,4452,29
Pandur,0.72,-5,13-18,3160,3320,74
Spoof,0.74,-6,17-23,2625,3604,19
Stamino,0.65,-8,15-23,1950,3571,15
Totals,0.77,-24,80-104,12495,18242,175
