Enigma6,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.78,1.56,24,67-43,10705,12843
General,1.49,1.26,12,58-46,9930,12026
GodRx,1.68,1.82,32,71-39,10080,13334
Kismet,0.93,0.95,-3,52-55,8250,10414
Mayhem,1.12,1.04,2,53-51,7745,10792
Totals,1.37,1.29,67,301-234,46710,59409
Fuego Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.78,1.56,24,67-43,10705,12843
General,1.49,1.26,12,58-46,9930,12026
GodRx,1.68,1.82,32,71-39,10080,13334
Kismet,0.93,0.95,-3,52-55,8250,10414
Mayhem,1.12,1.04,2,53-51,7745,10792
Totals,1.37,1.29,67,301-234,46710,59409
Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.78,1.56,24,67-43,10705,12843
General,1.49,1.26,12,58-46,9930,12026
GodRx,1.68,1.82,32,71-39,10080,13334
Kismet,0.93,0.95,-3,52-55,8250,10414
Mayhem,1.12,1.04,2,53-51,7745,10792
Totals,1.37,1.29,67,301-234,46710,59409
Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.78,1.56,24,67-43,10705,12843
General,1.49,1.26,12,58-46,9930,12026
GodRx,1.68,1.82,32,71-39,10080,13334
Kismet,0.93,0.95,-3,52-55,8250,10414
Mayhem,1.12,1.04,2,53-51,7745,10792
Totals,1.37,1.29,67,301-234,46710,59409
Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
