Celtic FC,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.55,0.56,-15,19-34,3055,4900
Chain,0.46,0.47,-17,15-32,2200,3405
Nastie,0.8,0.8,-7,28-35,3880,5175
QwiKeR,0.48,0.5,-19,19-38,3270,4489
Seany,0.5,0.53,-18,20-38,2845,5186
Totals,0.56,0.57,-76,101-177,15250,23155
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.77,1.65,15,38-23,5495,6599
Arcitys,2.08,2.06,19,37-18,6020,7414
Clayster,1.6,1.57,12,33-21,5215,6082
Prestinni,1.92,1.88,15,32-17,5710,6171
Simp,1.68,1.68,15,37-22,6195,6971
Totals,1.8,1.75,76,177-101,28635,33237
Celtic FC,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.55,0.56,-15,19-34,3055,4900
Chain,0.46,0.47,-17,15-32,2200,3405
Nastie,0.8,0.8,-7,28-35,3880,5175
QwiKeR,0.48,0.5,-19,19-38,3270,4489
Seany,0.5,0.53,-18,20-38,2845,5186
Totals,0.56,0.57,-76,101-177,15250,23155
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.77,1.65,15,38-23,5495,6599
Arcitys,2.08,2.06,19,37-18,6020,7414
Clayster,1.6,1.57,12,33-21,5215,6082
Prestinni,1.92,1.88,15,32-17,5710,6171
Simp,1.68,1.68,15,37-22,6195,6971
Totals,1.8,1.75,76,177-101,28635,33237
Celtic FC,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.55,0.56,-15,19-34,3055,4900
Chain,0.46,0.47,-17,15-32,2200,3405
Nastie,0.8,0.8,-7,28-35,3880,5175
QwiKeR,0.48,0.5,-19,19-38,3270,4489
Seany,0.5,0.53,-18,20-38,2845,5186
Totals,0.56,0.57,-76,101-177,15250,23155
eUnited,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Abezy,1.77,1.65,15,38-23,5495,6599
Arcitys,2.08,2.06,19,37-18,6020,7414
Clayster,1.6,1.57,12,33-21,5215,6082
Prestinni,1.92,1.88,15,32-17,5710,6171
Simp,1.68,1.68,15,37-22,6195,6971
Totals,1.8,1.75,76,177-101,28635,33237
