Fuego Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.76,0.8,-11,43-54,6605,10141
Havok,0.95,0.96,-2,46-48,7425,9696
MajorManiak,1.26,1.23,9,49-40,7760,9399
Maux,0.97,0.86,-6,37-43,6585,10454
Nagafen,0.6,0.65,-21,39-60,5615,9559
Totals,0.88,0.87,-31,214-245,33990,49249
Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.76,0.8,-11,43-54,6605,10141
Havok,0.95,0.96,-2,46-48,7425,9696
MajorManiak,1.26,1.23,9,49-40,7760,9399
Maux,0.97,0.86,-6,37-43,6585,10454
Nagafen,0.6,0.65,-21,39-60,5615,9559
Totals,0.88,0.87,-31,214-245,33990,49249
Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.76,0.8,-11,43-54,6605,10141
Havok,0.95,0.96,-2,46-48,7425,9696
MajorManiak,1.26,1.23,9,49-40,7760,9399
Maux,0.97,0.86,-6,37-43,6585,10454
Nagafen,0.6,0.65,-21,39-60,5615,9559
Totals,0.88,0.87,-31,214-245,33990,49249
Fuego Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.76,0.8,-11,43-54,6605,10141
Havok,0.95,0.96,-2,46-48,7425,9696
MajorManiak,1.26,1.23,9,49-40,7760,9399
Maux,0.97,0.86,-6,37-43,6585,10454
Nagafen,0.6,0.65,-21,39-60,5615,9559
Totals,0.88,0.87,-31,214-245,33990,49249
Fuego Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.81,-11,48-59,7300,9364
Conor,0.61,0.68,-20,43-63,6835,10081
Harry,0.66,0.74,-17,48-65,7610,9625
Hawqeh,0.67,0.76,-14,45-59,7500,11049
MadCat,0.89,0.91,-5,50-55,6825,10016
Totals,0.73,0.78,-67,234-301,36070,50135
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.76,0.8,-11,43-54,6605,10141
Havok,0.95,0.96,-2,46-48,7425,9696
MajorManiak,1.26,1.23,9,49-40,7760,9399
Maux,0.97,0.86,-6,37-43,6585,10454
Nagafen,0.6,0.65,-21,39-60,5615,9559
Totals,0.88,0.87,-31,214-245,33990,49249
