Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.82,0.98,-1,58-59,10030,13487
Lacefield,1.61,1.39,22,78-56,11800,16271
MRuiz,0.93,0.95,-3,57-60,8925,11985
Profeezy,1.06,1.1,6,67-61,11100,12691
Wailers,1.16,1.19,9,56-47,10045,12977
Totals,1.1,1.12,33,316-283,51900,67411
RBL eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.82,0.98,-1,58-59,10030,13487
Lacefield,1.61,1.39,22,78-56,11800,16271
MRuiz,0.93,0.95,-3,57-60,8925,11985
Profeezy,1.06,1.1,6,67-61,11100,12691
Wailers,1.16,1.19,9,56-47,10045,12977
Totals,1.1,1.12,33,316-283,51900,67411
RBL eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
Elevate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.82,0.98,-1,58-59,10030,13487
Lacefield,1.61,1.39,22,78-56,11800,16271
MRuiz,0.93,0.95,-3,57-60,8925,11985
Profeezy,1.06,1.1,6,67-61,11100,12691
Wailers,1.16,1.19,9,56-47,10045,12977
Totals,1.1,1.12,33,316-283,51900,67411
RBL eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
Elevate,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Believe,0.82,0.98,-1,58-59,10030,13487
Lacefield,1.61,1.39,22,78-56,11800,16271
MRuiz,0.93,0.95,-3,57-60,8925,11985
Profeezy,1.06,1.1,6,67-61,11100,12691
Wailers,1.16,1.19,9,56-47,10045,12977
Totals,1.1,1.12,33,316-283,51900,67411
RBL eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.04,1,0,67-67,9710,13743
Glory,1,0.9,-7,61-68,8885,14415
Gunsiii,0.95,0.85,-10,58-68,8345,12070
HumanJesus,0.67,0.8,-11,43-54,8395,9565
KlinK,0.77,0.9,-6,53-59,8815,10975
Totals,0.9,0.89,-34,282-316,44150,60768
