Animosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cookie,0.74,0.89,-4,32-36,4670,7696
Pazy,0.72,0.74,-11,32-43,4475,7526
Phantom,0.61,0.63,-17,29-46,4300,6265
Piero,0.62,0.54,-17,20-37,3570,6207
Sharko,0.86,0.63,-15,26-41,3615,5496
Totals,0.71,0.68,-64,139-203,20630,33190
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.47,1.22,7,39-32,6505,7532
Joee,0.88,0.92,-3,36-39,5305,7365
Nolson,1.61,1.8,20,45-25,6975,8928
Rated,1.43,1.85,17,37-20,6265,7093
Weeman,1.8,1.88,21,45-24,7860,9645
Totals,1.39,1.44,62,202-140,32910,40563
Animosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cookie,0.74,0.89,-4,32-36,4670,7696
Pazy,0.72,0.74,-11,32-43,4475,7526
Phantom,0.61,0.63,-17,29-46,4300,6265
Piero,0.62,0.54,-17,20-37,3570,6207
Sharko,0.86,0.63,-15,26-41,3615,5496
Totals,0.71,0.68,-64,139-203,20630,33190
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.47,1.22,7,39-32,6505,7532
Joee,0.88,0.92,-3,36-39,5305,7365
Nolson,1.61,1.8,20,45-25,6975,8928
Rated,1.43,1.85,17,37-20,6265,7093
Weeman,1.8,1.88,21,45-24,7860,9645
Totals,1.39,1.44,62,202-140,32910,40563
Animosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cookie,0.74,0.89,-4,32-36,4670,7696
Pazy,0.72,0.74,-11,32-43,4475,7526
Phantom,0.61,0.63,-17,29-46,4300,6265
Piero,0.62,0.54,-17,20-37,3570,6207
Sharko,0.86,0.63,-15,26-41,3615,5496
Totals,0.71,0.68,-64,139-203,20630,33190
Units,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,1.47,1.22,7,39-32,6505,7532
Joee,0.88,0.92,-3,36-39,5305,7365
Nolson,1.61,1.8,20,45-25,6975,8928
Rated,1.43,1.85,17,37-20,6265,7093
Weeman,1.8,1.88,21,45-24,7860,9645
Totals,1.39,1.44,62,202-140,32910,40563
