FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.93,0.98,-1,61-62,10340,12194
Cellium,1.01,1.3,14,60-46,9775,11107
Skrapz,1.49,1.59,24,65-41,10450,14103
Zer0,1.25,1.68,25,62-37,9735,11489
Zoomaa,1.42,1.67,24,60-36,9860,10779
Totals,1.18,1.39,86,308-222,50160,59672
Mazer Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.92,0.81,-11,47-58,7365,11005
Jetli,0.74,0.7,-20,46-66,7175,8686
mosh,0.76,0.54,-30,35-65,5585,9677
Parzelion,0.84,0.7,-17,39-56,5915,9555
SpaceLy,0.88,0.84,-10,53-63,7650,11708
Totals,0.83,0.71,-88,220-308,33690,50631
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.93,0.98,-1,61-62,10340,12194
Cellium,1.01,1.3,14,60-46,9775,11107
Skrapz,1.49,1.59,24,65-41,10450,14103
Zer0,1.25,1.68,25,62-37,9735,11489
Zoomaa,1.42,1.67,24,60-36,9860,10779
Totals,1.18,1.39,86,308-222,50160,59672
Mazer Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.92,0.81,-11,47-58,7365,11005
Jetli,0.74,0.7,-20,46-66,7175,8686
mosh,0.76,0.54,-30,35-65,5585,9677
Parzelion,0.84,0.7,-17,39-56,5915,9555
SpaceLy,0.88,0.84,-10,53-63,7650,11708
Totals,0.83,0.71,-88,220-308,33690,50631
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.93,0.98,-1,61-62,10340,12194
Cellium,1.01,1.3,14,60-46,9775,11107
Skrapz,1.49,1.59,24,65-41,10450,14103
Zer0,1.25,1.68,25,62-37,9735,11489
Zoomaa,1.42,1.67,24,60-36,9860,10779
Totals,1.18,1.39,86,308-222,50160,59672
Mazer Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.92,0.81,-11,47-58,7365,11005
Jetli,0.74,0.7,-20,46-66,7175,8686
mosh,0.76,0.54,-30,35-65,5585,9677
Parzelion,0.84,0.7,-17,39-56,5915,9555
SpaceLy,0.88,0.84,-10,53-63,7650,11708
Totals,0.83,0.71,-88,220-308,33690,50631
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.93,0.98,-1,61-62,10340,12194
Cellium,1.01,1.3,14,60-46,9775,11107
Skrapz,1.49,1.59,24,65-41,10450,14103
Zer0,1.25,1.68,25,62-37,9735,11489
Zoomaa,1.42,1.67,24,60-36,9860,10779
Totals,1.18,1.39,86,308-222,50160,59672
Mazer Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Apox,0.92,0.81,-11,47-58,7365,11005
Jetli,0.74,0.7,-20,46-66,7175,8686
mosh,0.76,0.54,-30,35-65,5585,9677
Parzelion,0.84,0.7,-17,39-56,5915,9555
SpaceLy,0.88,0.84,-10,53-63,7650,11708
Totals,0.83,0.71,-88,220-308,33690,50631
