LGND Status GG,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
EFatal,0.5,0.61,-15,23-38,4465,5955
Foncho,0.67,0.68,-12,26-38,3965,5527
Phenom,0.75,0.82,-7,31-38,4445,6278
Pure,0.72,0.64,-14,25-39,4275,5149
Ryza,1.02,0.97,-1,35-36,5090,6689
Totals,0.73,0.74,-49,140-189,22240,29598
Sage eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,1.34,0.96,-1,25-26,5565,6714
GRVTY,2.17,2.43,30,51-21,7585,9051
Hollow,1.22,1.07,2,32-30,5545,7067
Vivid,1.03,1.11,4,40-36,6390,7219
Wrecks,1.32,1.52,14,41-27,6695,7349
Totals,1.38,1.35,49,189-140,31780,37400
LGND Status GG,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
EFatal,0.5,0.61,-15,23-38,4465,5955
Foncho,0.67,0.68,-12,26-38,3965,5527
Phenom,0.75,0.82,-7,31-38,4445,6278
Pure,0.72,0.64,-14,25-39,4275,5149
Ryza,1.02,0.97,-1,35-36,5090,6689
Totals,0.73,0.74,-49,140-189,22240,29598
Sage eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,1.34,0.96,-1,25-26,5565,6714
GRVTY,2.17,2.43,30,51-21,7585,9051
Hollow,1.22,1.07,2,32-30,5545,7067
Vivid,1.03,1.11,4,40-36,6390,7219
Wrecks,1.32,1.52,14,41-27,6695,7349
Totals,1.38,1.35,49,189-140,31780,37400
LGND Status GG,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
EFatal,0.5,0.61,-15,23-38,4465,5955
Foncho,0.67,0.68,-12,26-38,3965,5527
Phenom,0.75,0.82,-7,31-38,4445,6278
Pure,0.72,0.64,-14,25-39,4275,5149
Ryza,1.02,0.97,-1,35-36,5090,6689
Totals,0.73,0.74,-49,140-189,22240,29598
Sage eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,1.34,0.96,-1,25-26,5565,6714
GRVTY,2.17,2.43,30,51-21,7585,9051
Hollow,1.22,1.07,2,32-30,5545,7067
Vivid,1.03,1.11,4,40-36,6390,7219
Wrecks,1.32,1.52,14,41-27,6695,7349
Totals,1.38,1.35,49,189-140,31780,37400
