Midnight,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.92,1.12,9,83-74,13235,16302
LlamaGod,0.9,1.09,7,81-74,12105,16329
Parasite,0.81,0.91,-7,68-75,11915,15910
Royalty,1.2,1.15,12,90-78,13535,18926
Zaptius,1.09,1.16,12,89-77,13475,16895
Totals,0.99,1.09,33,411-378,64265,84362
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.84,0.8,-16,64-80,10935,18111
Exceed,1.14,1.05,4,91-87,13145,19248
Linney,0.84,0.77,-19,65-84,9835,14665
Proto,1.01,0.9,-8,76-84,12070,14463
Tommey,1.21,1.05,4,80-76,11700,17119
Totals,1.01,0.91,-35,376-411,57685,83606
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.92,1.12,9,83-74,13235,16302
LlamaGod,0.9,1.09,7,81-74,12105,16329
Parasite,0.81,0.91,-7,68-75,11915,15910
Royalty,1.2,1.15,12,90-78,13535,18926
Zaptius,1.09,1.16,12,89-77,13475,16895
Totals,0.99,1.09,33,411-378,64265,84362
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.84,0.8,-16,64-80,10935,18111
Exceed,1.14,1.05,4,91-87,13145,19248
Linney,0.84,0.77,-19,65-84,9835,14665
Proto,1.01,0.9,-8,76-84,12070,14463
Tommey,1.21,1.05,4,80-76,11700,17119
Totals,1.01,0.91,-35,376-411,57685,83606
Midnight,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.92,1.12,9,83-74,13235,16302
LlamaGod,0.9,1.09,7,81-74,12105,16329
Parasite,0.81,0.91,-7,68-75,11915,15910
Royalty,1.2,1.15,12,90-78,13535,18926
Zaptius,1.09,1.16,12,89-77,13475,16895
Totals,0.99,1.09,33,411-378,64265,84362
Sicario Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.84,0.8,-16,64-80,10935,18111
Exceed,1.14,1.05,4,91-87,13145,19248
Linney,0.84,0.77,-19,65-84,9835,14665
Proto,1.01,0.9,-8,76-84,12070,14463
Tommey,1.21,1.05,4,80-76,11700,17119
Totals,1.01,0.91,-35,376-411,57685,83606
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.92,1.12,9,83-74,13235,16302
LlamaGod,0.9,1.09,7,81-74,12105,16329
Parasite,0.81,0.91,-7,68-75,11915,15910
Royalty,1.2,1.15,12,90-78,13535,18926
Zaptius,1.09,1.16,12,89-77,13475,16895
Totals,0.99,1.09,33,411-378,64265,84362
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.84,0.8,-16,64-80,10935,18111
Exceed,1.14,1.05,4,91-87,13145,19248
Linney,0.84,0.77,-19,65-84,9835,14665
Proto,1.01,0.9,-8,76-84,12070,14463
Tommey,1.21,1.05,4,80-76,11700,17119
Totals,1.01,0.91,-35,376-411,57685,83606
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.92,1.12,9,83-74,13235,16302
LlamaGod,0.9,1.09,7,81-74,12105,16329
Parasite,0.81,0.91,-7,68-75,11915,15910
Royalty,1.2,1.15,12,90-78,13535,18926
Zaptius,1.09,1.16,12,89-77,13475,16895
Totals,0.99,1.09,33,411-378,64265,84362
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,0.84,0.8,-16,64-80,10935,18111
Exceed,1.14,1.05,4,91-87,13145,19248
Linney,0.84,0.77,-19,65-84,9835,14665
Proto,1.01,0.9,-8,76-84,12070,14463
Tommey,1.21,1.05,4,80-76,11700,17119
Totals,1.01,0.91,-35,376-411,57685,83606
