100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.9,0.8,-12,47-59,7630,10793
Kenny,1.64,1.52,26,76-50,12055,15433
Octane,1.05,1.19,9,57-48,9450,12928
Priestahh,1.14,1.18,11,71-60,10050,13954
Slasher,1.23,1.07,4,58-54,9095,13239
Totals,1.18,1.14,38,309-271,48280,66347
Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.7,0.77,-13,44-57,7075,10609
DraMa,1.03,1.15,9,70-61,10115,13732
GloFrosty,0.67,0.79,-12,46-58,6500,11155
Ramby,1.09,0.93,-4,57-61,8795,12333
Teddyrecks,0.76,0.74,-19,53-72,7495,11038
Totals,0.85,0.87,-39,270-309,39980,58867
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.9,0.8,-12,47-59,7630,10793
Kenny,1.64,1.52,26,76-50,12055,15433
Octane,1.05,1.19,9,57-48,9450,12928
Priestahh,1.14,1.18,11,71-60,10050,13954
Slasher,1.23,1.07,4,58-54,9095,13239
Totals,1.18,1.14,38,309-271,48280,66347
Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.7,0.77,-13,44-57,7075,10609
DraMa,1.03,1.15,9,70-61,10115,13732
GloFrosty,0.67,0.79,-12,46-58,6500,11155
Ramby,1.09,0.93,-4,57-61,8795,12333
Teddyrecks,0.76,0.74,-19,53-72,7495,11038
Totals,0.85,0.87,-39,270-309,39980,58867
100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.9,0.8,-12,47-59,7630,10793
Kenny,1.64,1.52,26,76-50,12055,15433
Octane,1.05,1.19,9,57-48,9450,12928
Priestahh,1.14,1.18,11,71-60,10050,13954
Slasher,1.23,1.07,4,58-54,9095,13239
Totals,1.18,1.14,38,309-271,48280,66347
Fury Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.7,0.77,-13,44-57,7075,10609
DraMa,1.03,1.15,9,70-61,10115,13732
GloFrosty,0.67,0.79,-12,46-58,6500,11155
Ramby,1.09,0.93,-4,57-61,8795,12333
Teddyrecks,0.76,0.74,-19,53-72,7495,11038
Totals,0.85,0.87,-39,270-309,39980,58867
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.9,0.8,-12,47-59,7630,10793
Kenny,1.64,1.52,26,76-50,12055,15433
Octane,1.05,1.19,9,57-48,9450,12928
Priestahh,1.14,1.18,11,71-60,10050,13954
Slasher,1.23,1.07,4,58-54,9095,13239
Totals,1.18,1.14,38,309-271,48280,66347
Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.7,0.77,-13,44-57,7075,10609
DraMa,1.03,1.15,9,70-61,10115,13732
GloFrosty,0.67,0.79,-12,46-58,6500,11155
Ramby,1.09,0.93,-4,57-61,8795,12333
Teddyrecks,0.76,0.74,-19,53-72,7495,11038
Totals,0.85,0.87,-39,270-309,39980,58867
