Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.19,1.1,7,76-69,12870,15501
Formal,1.14,0.96,-3,69-72,9525,16962
John,1.03,0.94,-4,66-70,10335,15414
Skyz,1.02,1.05,3,63-60,10640,13976
Slacked,0.86,1.03,2,68-66,10025,13131
Totals,1.05,1.01,5,342-337,53395,74984
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1.02,1.03,2,70-68,11455,15019
Classic,0.76,0.79,-17,65-82,10530,13259
Methodz,0.87,1.05,3,61-58,9655,16089
Phantomz,0.81,0.87,-8,53-61,7975,12704
Saints,1.26,1.19,14,88-74,12835,17711
Totals,0.94,0.98,-6,337-343,52450,74782
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.19,1.1,7,76-69,12870,15501
Formal,1.14,0.96,-3,69-72,9525,16962
John,1.03,0.94,-4,66-70,10335,15414
Skyz,1.02,1.05,3,63-60,10640,13976
Slacked,0.86,1.03,2,68-66,10025,13131
Totals,1.05,1.01,5,342-337,53395,74984
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1.02,1.03,2,70-68,11455,15019
Classic,0.76,0.79,-17,65-82,10530,13259
Methodz,0.87,1.05,3,61-58,9655,16089
Phantomz,0.81,0.87,-8,53-61,7975,12704
Saints,1.26,1.19,14,88-74,12835,17711
Totals,0.94,0.98,-6,337-343,52450,74782
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.19,1.1,7,76-69,12870,15501
Formal,1.14,0.96,-3,69-72,9525,16962
John,1.03,0.94,-4,66-70,10335,15414
Skyz,1.02,1.05,3,63-60,10640,13976
Slacked,0.86,1.03,2,68-66,10025,13131
Totals,1.05,1.01,5,342-337,53395,74984
UYU,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1.02,1.03,2,70-68,11455,15019
Classic,0.76,0.79,-17,65-82,10530,13259
Methodz,0.87,1.05,3,61-58,9655,16089
Phantomz,0.81,0.87,-8,53-61,7975,12704
Saints,1.26,1.19,14,88-74,12835,17711
Totals,0.94,0.98,-6,337-343,52450,74782
Luminosity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.19,1.1,7,76-69,12870,15501
Formal,1.14,0.96,-3,69-72,9525,16962
John,1.03,0.94,-4,66-70,10335,15414
Skyz,1.02,1.05,3,63-60,10640,13976
Slacked,0.86,1.03,2,68-66,10025,13131
Totals,1.05,1.01,5,342-337,53395,74984
UYU,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1.02,1.03,2,70-68,11455,15019
Classic,0.76,0.79,-17,65-82,10530,13259
Methodz,0.87,1.05,3,61-58,9655,16089
Phantomz,0.81,0.87,-8,53-61,7975,12704
Saints,1.26,1.19,14,88-74,12835,17711
Totals,0.94,0.98,-6,337-343,52450,74782
Luminosity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.19,1.1,7,76-69,12870,15501
Formal,1.14,0.96,-3,69-72,9525,16962
John,1.03,0.94,-4,66-70,10335,15414
Skyz,1.02,1.05,3,63-60,10640,13976
Slacked,0.86,1.03,2,68-66,10025,13131
Totals,1.05,1.01,5,342-337,53395,74984
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1.02,1.03,2,70-68,11455,15019
Classic,0.76,0.79,-17,65-82,10530,13259
Methodz,0.87,1.05,3,61-58,9655,16089
Phantomz,0.81,0.87,-8,53-61,7975,12704
Saints,1.26,1.19,14,88-74,12835,17711
Totals,0.94,0.98,-6,337-343,52450,74782
