Aspire eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Fastballa,0.9,1,0,85-85,11215,17114
RobbieB3319,0.9,0.96,-3,72-75,13575,14608
Super,0.98,0.96,-3,70-73,10720,14716
TISCH47,1.09,1.06,4,75-71,12300,15372
Turnup2ez,1.1,1.37,19,71-52,11680,15765
Totals,0.98,1.05,17,373-356,59490,77575
Hybrid Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Beehzy,0.94,0.83,-12,60-72,9780,12415
Jintroid,1.13,1.08,6,80-74,11580,17396
Pandur,1.14,1.1,7,75-68,11345,16697
Spoof,1.07,0.97,-2,75-77,11985,16934
Stamino,0.77,0.76,-20,62-82,10100,15299
Totals,1.01,0.94,-21,352-373,54790,78741
Aspire eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Fastballa,0.9,1,0,85-85,11215,17114
RobbieB3319,0.9,0.96,-3,72-75,13575,14608
Super,0.98,0.96,-3,70-73,10720,14716
TISCH47,1.09,1.06,4,75-71,12300,15372
Turnup2ez,1.1,1.37,19,71-52,11680,15765
Totals,0.98,1.05,17,373-356,59490,77575
Hybrid Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Beehzy,0.94,0.83,-12,60-72,9780,12415
Jintroid,1.13,1.08,6,80-74,11580,17396
Pandur,1.14,1.1,7,75-68,11345,16697
Spoof,1.07,0.97,-2,75-77,11985,16934
Stamino,0.77,0.76,-20,62-82,10100,15299
Totals,1.01,0.94,-21,352-373,54790,78741
Aspire eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Fastballa,0.9,1,0,85-85,11215,17114
RobbieB3319,0.9,0.96,-3,72-75,13575,14608
Super,0.98,0.96,-3,70-73,10720,14716
TISCH47,1.09,1.06,4,75-71,12300,15372
Turnup2ez,1.1,1.37,19,71-52,11680,15765
Totals,0.98,1.05,17,373-356,59490,77575
Hybrid Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Beehzy,0.94,0.83,-12,60-72,9780,12415
Jintroid,1.13,1.08,6,80-74,11580,17396
Pandur,1.14,1.1,7,75-68,11345,16697
Spoof,1.07,0.97,-2,75-77,11985,16934
Stamino,0.77,0.76,-20,62-82,10100,15299
Totals,1.01,0.94,-21,352-373,54790,78741
Aspire eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Fastballa,0.9,1,0,85-85,11215,17114
RobbieB3319,0.9,0.96,-3,72-75,13575,14608
Super,0.98,0.96,-3,70-73,10720,14716
TISCH47,1.09,1.06,4,75-71,12300,15372
Turnup2ez,1.1,1.37,19,71-52,11680,15765
Totals,0.98,1.05,17,373-356,59490,77575
Hybrid Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Beehzy,0.94,0.83,-12,60-72,9780,12415
Jintroid,1.13,1.08,6,80-74,11580,17396
Pandur,1.14,1.1,7,75-68,11345,16697
Spoof,1.07,0.97,-2,75-77,11985,16934
Stamino,0.77,0.76,-20,62-82,10100,15299
Totals,1.01,0.94,-21,352-373,54790,78741
