Carnage Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Charullz,0.98,1.07,4,62-58,8775,12306
Destiny,0.51,0.65,-22,41-63,6170,9650
Newbz,0.74,0.75,-18,53-71,8350,13155
Pentagrxm,0.76,0.78,-14,51-65,9940,12155
Vicious,1.05,1.08,6,78-72,11775,15885
Totals,0.81,0.87,-44,285-329,45010,63151
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.3,1.4,19,67-48,10755,14789
Dashy,1.61,1.59,30,81-51,13840,15032
Karma,0.84,0.84,-10,54-64,8730,11294
Scump,1.6,1.28,16,73-57,11335,14700
TJHaly,0.9,0.8,-13,53-66,9435,13602
Totals,1.22,1.15,42,328-286,54095,69417
Carnage Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Charullz,0.98,1.07,4,62-58,8775,12306
Destiny,0.51,0.65,-22,41-63,6170,9650
Newbz,0.74,0.75,-18,53-71,8350,13155
Pentagrxm,0.76,0.78,-14,51-65,9940,12155
Vicious,1.05,1.08,6,78-72,11775,15885
Totals,0.81,0.87,-44,285-329,45010,63151
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.3,1.4,19,67-48,10755,14789
Dashy,1.61,1.59,30,81-51,13840,15032
Karma,0.84,0.84,-10,54-64,8730,11294
Scump,1.6,1.28,16,73-57,11335,14700
TJHaly,0.9,0.8,-13,53-66,9435,13602
Totals,1.22,1.15,42,328-286,54095,69417
Carnage Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Charullz,0.98,1.07,4,62-58,8775,12306
Destiny,0.51,0.65,-22,41-63,6170,9650
Newbz,0.74,0.75,-18,53-71,8350,13155
Pentagrxm,0.76,0.78,-14,51-65,9940,12155
Vicious,1.05,1.08,6,78-72,11775,15885
Totals,0.81,0.87,-44,285-329,45010,63151
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.3,1.4,19,67-48,10755,14789
Dashy,1.61,1.59,30,81-51,13840,15032
Karma,0.84,0.84,-10,54-64,8730,11294
Scump,1.6,1.28,16,73-57,11335,14700
TJHaly,0.9,0.8,-13,53-66,9435,13602
Totals,1.22,1.15,42,328-286,54095,69417
Carnage Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Charullz,0.98,1.07,4,62-58,8775,12306
Destiny,0.51,0.65,-22,41-63,6170,9650
Newbz,0.74,0.75,-18,53-71,8350,13155
Pentagrxm,0.76,0.78,-14,51-65,9940,12155
Vicious,1.05,1.08,6,78-72,11775,15885
Totals,0.81,0.87,-44,285-329,45010,63151
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.3,1.4,19,67-48,10755,14789
Dashy,1.61,1.59,30,81-51,13840,15032
Karma,0.84,0.84,-10,54-64,8730,11294
Scump,1.6,1.28,16,73-57,11335,14700
TJHaly,0.9,0.8,-13,53-66,9435,13602
Totals,1.22,1.15,42,328-286,54095,69417
