Heretics,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.76,0.8,-11,45-56,6925,11942
Lucky,0.78,0.79,-11,41-52,5890,9358
MethodZsick,0.82,0.86,-6,37-43,5285,8696
Mettalz,1,0.92,-4,47-51,7065,9298
Wartex,1.23,1.09,4,47-43,7670,9525
Totals,0.91,0.89,-28,217-245,32835,48819
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.11,1.15,6,45-39,6715,11866
Huke,1.41,1.45,20,64-44,9255,11943
Jurd,0.85,0.9,-5,46-51,7550,9205
Loony,0.99,1.03,1,39-38,7130,8815
Temp,1.1,1.11,5,50-45,7650,13416
Totals,1.09,1.12,27,244-217,38300,55245
Heretics,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.76,0.8,-11,45-56,6925,11942
Lucky,0.78,0.79,-11,41-52,5890,9358
MethodZsick,0.82,0.86,-6,37-43,5285,8696
Mettalz,1,0.92,-4,47-51,7065,9298
Wartex,1.23,1.09,4,47-43,7670,9525
Totals,0.91,0.89,-28,217-245,32835,48819
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.11,1.15,6,45-39,6715,11866
Huke,1.41,1.45,20,64-44,9255,11943
Jurd,0.85,0.9,-5,46-51,7550,9205
Loony,0.99,1.03,1,39-38,7130,8815
Temp,1.1,1.11,5,50-45,7650,13416
Totals,1.09,1.12,27,244-217,38300,55245
Heretics,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
JurNii,0.76,0.8,-11,45-56,6925,11942
Lucky,0.78,0.79,-11,41-52,5890,9358
MethodZsick,0.82,0.86,-6,37-43,5285,8696
Mettalz,1,0.92,-4,47-51,7065,9298
Wartex,1.23,1.09,4,47-43,7670,9525
Totals,0.91,0.89,-28,217-245,32835,48819
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Aqua,1.11,1.15,6,45-39,6715,11866
Huke,1.41,1.45,20,64-44,9255,11943
Jurd,0.85,0.9,-5,46-51,7550,9205
Loony,0.99,1.03,1,39-38,7130,8815
Temp,1.1,1.11,5,50-45,7650,13416
Totals,1.09,1.12,27,244-217,38300,55245
