Celtic FC,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.83,0.81,-13,54-67,8055,11909
Chain,0.84,0.89,-7,56-63,9525,11838
Nastie,1.15,1.16,10,72-62,10715,14285
QwiKeR,1.24,1.14,8,65-57,9100,12363
Seany,0.8,0.93,-4,57-61,8715,14659
Totals,0.96,0.98,-6,304-310,46110,65054
RBL eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.14,1.32,19,78-59,10490,14130
Glory,0.98,0.88,-8,61-69,10070,13046
Gunsiii,1.61,1.33,19,77-58,11685,15828
HumanJesus,0.69,0.78,-12,42-54,7390,10078
KlinK,0.8,0.78,-14,50-64,8475,11487
Totals,1.03,1.01,4,308-304,48110,64569
Celtic FC,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.83,0.81,-13,54-67,8055,11909
Chain,0.84,0.89,-7,56-63,9525,11838
Nastie,1.15,1.16,10,72-62,10715,14285
QwiKeR,1.24,1.14,8,65-57,9100,12363
Seany,0.8,0.93,-4,57-61,8715,14659
Totals,0.96,0.98,-6,304-310,46110,65054
RBL eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.14,1.32,19,78-59,10490,14130
Glory,0.98,0.88,-8,61-69,10070,13046
Gunsiii,1.61,1.33,19,77-58,11685,15828
HumanJesus,0.69,0.78,-12,42-54,7390,10078
KlinK,0.8,0.78,-14,50-64,8475,11487
Totals,1.03,1.01,4,308-304,48110,64569
Celtic FC,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.83,0.81,-13,54-67,8055,11909
Chain,0.84,0.89,-7,56-63,9525,11838
Nastie,1.15,1.16,10,72-62,10715,14285
QwiKeR,1.24,1.14,8,65-57,9100,12363
Seany,0.8,0.93,-4,57-61,8715,14659
Totals,0.96,0.98,-6,304-310,46110,65054
RBL eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.14,1.32,19,78-59,10490,14130
Glory,0.98,0.88,-8,61-69,10070,13046
Gunsiii,1.61,1.33,19,77-58,11685,15828
HumanJesus,0.69,0.78,-12,42-54,7390,10078
KlinK,0.8,0.78,-14,50-64,8475,11487
Totals,1.03,1.01,4,308-304,48110,64569
Celtic FC,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.83,0.81,-13,54-67,8055,11909
Chain,0.84,0.89,-7,56-63,9525,11838
Nastie,1.15,1.16,10,72-62,10715,14285
QwiKeR,1.24,1.14,8,65-57,9100,12363
Seany,0.8,0.93,-4,57-61,8715,14659
Totals,0.96,0.98,-6,304-310,46110,65054
RBL eSports,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
TooReal,1.14,1.32,19,78-59,10490,14130
Glory,0.98,0.88,-8,61-69,10070,13046
Gunsiii,1.61,1.33,19,77-58,11685,15828
HumanJesus,0.69,0.78,-12,42-54,7390,10078
KlinK,0.8,0.78,-14,50-64,8475,11487
Totals,1.03,1.01,4,308-304,48110,64569
