Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.62,1.76,19,44-25,5990,9031
General,1.31,1.23,7,37-30,5290,7423
GodRx,0.76,1,0,32-32,3825,5740
Kismet,0.82,0.94,-2,33-35,4910,5937
Mayhem,1.17,1.11,3,31-28,5385,6472
Totals,1.11,1.18,27,177-150,25400,34603
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.96,1.09,3,37-34,5450,7590
Havok,0.65,0.89,-4,33-37,4595,6952
MajorManiak,0.89,0.77,-9,30-39,3625,5872
Maux,0.61,0.49,-18,17-35,3360,4757
Nagafen,1.55,1.03,1,33-32,5370,7214
Totals,0.9,0.85,-27,150-177,22400,32385
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.62,1.76,19,44-25,5990,9031
General,1.31,1.23,7,37-30,5290,7423
GodRx,0.76,1,0,32-32,3825,5740
Kismet,0.82,0.94,-2,33-35,4910,5937
Mayhem,1.17,1.11,3,31-28,5385,6472
Totals,1.11,1.18,27,177-150,25400,34603
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.96,1.09,3,37-34,5450,7590
Havok,0.65,0.89,-4,33-37,4595,6952
MajorManiak,0.89,0.77,-9,30-39,3625,5872
Maux,0.61,0.49,-18,17-35,3360,4757
Nagafen,1.55,1.03,1,33-32,5370,7214
Totals,0.9,0.85,-27,150-177,22400,32385
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.62,1.76,19,44-25,5990,9031
General,1.31,1.23,7,37-30,5290,7423
GodRx,0.76,1,0,32-32,3825,5740
Kismet,0.82,0.94,-2,33-35,4910,5937
Mayhem,1.17,1.11,3,31-28,5385,6472
Totals,1.11,1.18,27,177-150,25400,34603
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,0.96,1.09,3,37-34,5450,7590
Havok,0.65,0.89,-4,33-37,4595,6952
MajorManiak,0.89,0.77,-9,30-39,3625,5872
Maux,0.61,0.49,-18,17-35,3360,4757
Nagafen,1.55,1.03,1,33-32,5370,7214
Totals,0.9,0.85,-27,150-177,22400,32385
