Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.89,-6,49-55,6840,10258
Conor,0.92,0.88,-6,44-50,6150,9862
Harry,0.66,0.67,-17,35-52,5175,5754
Hawqeh,0.74,0.83,-8,38-46,6140,9187
MadCat,0.74,0.78,-9,31-40,4305,7608
Totals,0.78,0.81,-46,197-243,28610,42669
Team WaR,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,1,1.12,5,47-42,7705,9987
Dqvee,1.3,1.35,11,42-31,7015,9540
Joshh,1.4,1.28,13,59-46,8065,10653
Peatie,1.35,1.33,12,48-36,8150,10093
Vortex,1.26,1.07,3,46-43,7435,8598
Totals,1.26,1.22,44,242-198,38370,48871
Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.89,-6,49-55,6840,10258
Conor,0.92,0.88,-6,44-50,6150,9862
Harry,0.66,0.67,-17,35-52,5175,5754
Hawqeh,0.74,0.83,-8,38-46,6140,9187
MadCat,0.74,0.78,-9,31-40,4305,7608
Totals,0.78,0.81,-46,197-243,28610,42669
Team WaR,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,1,1.12,5,47-42,7705,9987
Dqvee,1.3,1.35,11,42-31,7015,9540
Joshh,1.4,1.28,13,59-46,8065,10653
Peatie,1.35,1.33,12,48-36,8150,10093
Vortex,1.26,1.07,3,46-43,7435,8598
Totals,1.26,1.22,44,242-198,38370,48871
Fuego Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chaaxter,0.82,0.89,-6,49-55,6840,10258
Conor,0.92,0.88,-6,44-50,6150,9862
Harry,0.66,0.67,-17,35-52,5175,5754
Hawqeh,0.74,0.83,-8,38-46,6140,9187
MadCat,0.74,0.78,-9,31-40,4305,7608
Totals,0.78,0.81,-46,197-243,28610,42669
Team WaR,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,1,1.12,5,47-42,7705,9987
Dqvee,1.3,1.35,11,42-31,7015,9540
Joshh,1.4,1.28,13,59-46,8065,10653
Peatie,1.35,1.33,12,48-36,8150,10093
Vortex,1.26,1.07,3,46-43,7435,8598
Totals,1.26,1.22,44,242-198,38370,48871
