Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.86,1.07,3,47-44,9305,10105
Denz,1.18,1.09,3,37-34,6145,8452
Dylan,1.36,1.43,20,67-47,10910,12376
Wuskin,1.34,1.37,13,48-35,7335,9358
Zed,1.6,1.41,15,52-37,9265,12046
Totals,1.26,1.27,54,251-197,42960,52337
Sage eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.82,0.81,-9,38-47,5685,8456
GRVTY,0.81,0.85,-7,39-46,6535,8468
Hollow,0.93,0.9,-5,45-50,6790,10276
Vivid,0.71,0.69,-19,42-61,5865,9156
Wrecks,0.71,0.7,-14,33-47,5360,8715
Totals,0.8,0.78,-54,197-251,30235,45071
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.86,1.07,3,47-44,9305,10105
Denz,1.18,1.09,3,37-34,6145,8452
Dylan,1.36,1.43,20,67-47,10910,12376
Wuskin,1.34,1.37,13,48-35,7335,9358
Zed,1.6,1.41,15,52-37,9265,12046
Totals,1.26,1.27,54,251-197,42960,52337
Sage eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.82,0.81,-9,38-47,5685,8456
GRVTY,0.81,0.85,-7,39-46,6535,8468
Hollow,0.93,0.9,-5,45-50,6790,10276
Vivid,0.71,0.69,-19,42-61,5865,9156
Wrecks,0.71,0.7,-14,33-47,5360,8715
Totals,0.8,0.78,-54,197-251,30235,45071
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.86,1.07,3,47-44,9305,10105
Denz,1.18,1.09,3,37-34,6145,8452
Dylan,1.36,1.43,20,67-47,10910,12376
Wuskin,1.34,1.37,13,48-35,7335,9358
Zed,1.6,1.41,15,52-37,9265,12046
Totals,1.26,1.27,54,251-197,42960,52337
Sage eSports,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cells,0.82,0.81,-9,38-47,5685,8456
GRVTY,0.81,0.85,-7,39-46,6535,8468
Hollow,0.93,0.9,-5,45-50,6790,10276
Vivid,0.71,0.69,-19,42-61,5865,9156
Wrecks,0.71,0.7,-14,33-47,5360,8715
Totals,0.8,0.78,-54,197-251,30235,45071
