Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.46,1.47,18,56-38,8445,11225
General,1.92,1.71,22,53-31,9080,10157
GodRx,1.16,1.02,1,43-42,6875,9040
Kismet,1.63,1.4,19,66-47,9175,11856
Mayhem,0.77,0.93,-3,40-43,6490,10031
Totals,1.35,1.28,57,258-201,40065,52309
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.63,0.72,-16,41-57,6195,7749
Dqvee,0.92,0.93,-3,38-41,6735,8621
Joshh,0.53,0.52,-30,32-62,4355,8009
Peatie,0.77,0.88,-6,44-50,7470,8767
Vortex,0.89,0.92,-4,45-49,7350,10080
Totals,0.73,0.77,-59,200-259,32105,43226
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.46,1.47,18,56-38,8445,11225
General,1.92,1.71,22,53-31,9080,10157
GodRx,1.16,1.02,1,43-42,6875,9040
Kismet,1.63,1.4,19,66-47,9175,11856
Mayhem,0.77,0.93,-3,40-43,6490,10031
Totals,1.35,1.28,57,258-201,40065,52309
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.63,0.72,-16,41-57,6195,7749
Dqvee,0.92,0.93,-3,38-41,6735,8621
Joshh,0.53,0.52,-30,32-62,4355,8009
Peatie,0.77,0.88,-6,44-50,7470,8767
Vortex,0.89,0.92,-4,45-49,7350,10080
Totals,0.73,0.77,-59,200-259,32105,43226
Enigma6,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.46,1.47,18,56-38,8445,11225
General,1.92,1.71,22,53-31,9080,10157
GodRx,1.16,1.02,1,43-42,6875,9040
Kismet,1.63,1.4,19,66-47,9175,11856
Mayhem,0.77,0.93,-3,40-43,6490,10031
Totals,1.35,1.28,57,258-201,40065,52309
Team WaR,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Defrag,0.63,0.72,-16,41-57,6195,7749
Dqvee,0.92,0.93,-3,38-41,6735,8621
Joshh,0.53,0.52,-30,32-62,4355,8009
Peatie,0.77,0.88,-6,44-50,7470,8767
Vortex,0.89,0.92,-4,45-49,7350,10080
Totals,0.73,0.77,-59,200-259,32105,43226
