FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,1.18,1,0,52-52,8970,9943
Cellium,1.38,1.44,17,56-39,9165,10624
Skrapz,1.01,1.31,10,42-32,8415,9391
Zer0,1.01,1.11,5,49-44,7875,11534
Zoomaa,0.93,1,0,46-46,6850,8886
Totals,1.1,1.15,32,245-213,41275,50378
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.72,0.62,-20,32-52,4675,7849
Joee,1.01,0.87,-7,46-53,7245,8962
Nolson,0.71,0.78,-11,39-50,5655,8864
Rated,0.83,0.92,-4,44-48,5490,8679
Weeman,1.34,1.21,9,52-43,7810,11396
Totals,0.91,0.87,-33,213-246,30875,45750
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,1.18,1,0,52-52,8970,9943
Cellium,1.38,1.44,17,56-39,9165,10624
Skrapz,1.01,1.31,10,42-32,8415,9391
Zer0,1.01,1.11,5,49-44,7875,11534
Zoomaa,0.93,1,0,46-46,6850,8886
Totals,1.1,1.15,32,245-213,41275,50378
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.72,0.62,-20,32-52,4675,7849
Joee,1.01,0.87,-7,46-53,7245,8962
Nolson,0.71,0.78,-11,39-50,5655,8864
Rated,0.83,0.92,-4,44-48,5490,8679
Weeman,1.34,1.21,9,52-43,7810,11396
Totals,0.91,0.87,-33,213-246,30875,45750
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,1.18,1,0,52-52,8970,9943
Cellium,1.38,1.44,17,56-39,9165,10624
Skrapz,1.01,1.31,10,42-32,8415,9391
Zer0,1.01,1.11,5,49-44,7875,11534
Zoomaa,0.93,1,0,46-46,6850,8886
Totals,1.1,1.15,32,245-213,41275,50378
Units,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Cammy,0.72,0.62,-20,32-52,4675,7849
Joee,1.01,0.87,-7,46-53,7245,8962
Nolson,0.71,0.78,-11,39-50,5655,8864
Rated,0.83,0.92,-4,44-48,5490,8679
Weeman,1.34,1.21,9,52-43,7810,11396
Totals,0.91,0.87,-33,213-246,30875,45750
