Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.66,0.72,-22,57-79,9050,12611
CleanX,0.95,0.86,-11,65-76,10310,14656
detain,1.28,1.2,14,83-69,12230,16513
Insight,1.12,0.97,-2,62-64,8760,14723
Keza,1.05,0.93,-5,68-73,11075,15250
Totals,1,0.93,-26,335-361,51425,73753
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1,0.97,-2,72-74,10625,14854
Classic,0.7,0.81,-15,64-79,10380,15140
Methodz,0.95,1,0,59-59,10400,15787
Phantomz,0.97,1.24,13,68-55,11460,14907
Saints,1.34,1.38,26,95-69,12725,18477
Totals,0.98,1.07,22,358-336,55590,79165
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.66,0.72,-22,57-79,9050,12611
CleanX,0.95,0.86,-11,65-76,10310,14656
detain,1.28,1.2,14,83-69,12230,16513
Insight,1.12,0.97,-2,62-64,8760,14723
Keza,1.05,0.93,-5,68-73,11075,15250
Totals,1,0.93,-26,335-361,51425,73753
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1,0.97,-2,72-74,10625,14854
Classic,0.7,0.81,-15,64-79,10380,15140
Methodz,0.95,1,0,59-59,10400,15787
Phantomz,0.97,1.24,13,68-55,11460,14907
Saints,1.34,1.38,26,95-69,12725,18477
Totals,0.98,1.07,22,358-336,55590,79165
Singularity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.66,0.72,-22,57-79,9050,12611
CleanX,0.95,0.86,-11,65-76,10310,14656
detain,1.28,1.2,14,83-69,12230,16513
Insight,1.12,0.97,-2,62-64,8760,14723
Keza,1.05,0.93,-5,68-73,11075,15250
Totals,1,0.93,-26,335-361,51425,73753
UYU,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1,0.97,-2,72-74,10625,14854
Classic,0.7,0.81,-15,64-79,10380,15140
Methodz,0.95,1,0,59-59,10400,15787
Phantomz,0.97,1.24,13,68-55,11460,14907
Saints,1.34,1.38,26,95-69,12725,18477
Totals,0.98,1.07,22,358-336,55590,79165
Singularity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.66,0.72,-22,57-79,9050,12611
CleanX,0.95,0.86,-11,65-76,10310,14656
detain,1.28,1.2,14,83-69,12230,16513
Insight,1.12,0.97,-2,62-64,8760,14723
Keza,1.05,0.93,-5,68-73,11075,15250
Totals,1,0.93,-26,335-361,51425,73753
UYU,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1,0.97,-2,72-74,10625,14854
Classic,0.7,0.81,-15,64-79,10380,15140
Methodz,0.95,1,0,59-59,10400,15787
Phantomz,0.97,1.24,13,68-55,11460,14907
Saints,1.34,1.38,26,95-69,12725,18477
Totals,0.98,1.07,22,358-336,55590,79165
Singularity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bidz,0.66,0.72,-22,57-79,9050,12611
CleanX,0.95,0.86,-11,65-76,10310,14656
detain,1.28,1.2,14,83-69,12230,16513
Insight,1.12,0.97,-2,62-64,8760,14723
Keza,1.05,0.93,-5,68-73,11075,15250
Totals,1,0.93,-26,335-361,51425,73753
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1,0.97,-2,72-74,10625,14854
Classic,0.7,0.81,-15,64-79,10380,15140
Methodz,0.95,1,0,59-59,10400,15787
Phantomz,0.97,1.24,13,68-55,11460,14907
Saints,1.34,1.38,26,95-69,12725,18477
Totals,0.98,1.07,22,358-336,55590,79165
