100 Thieves,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.8,0.96,-2,50-52,9925,13417
Kenny,1.41,1.23,14,74-60,10875,14444
Octane,1.3,1.32,15,62-47,12425,13511
Priestahh,1.28,1.35,21,81-60,10885,14909
Slasher,0.96,0.96,-2,54-56,9435,13226
Totals,1.15,1.17,46,321-275,53545,69507
Midnight,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.83,0.92,-5,58-63,8435,13377
LlamaGod,0.88,0.81,-11,47-58,7940,9716
Parasite,0.71,0.78,-14,51-65,7650,12357
Royalty,1.07,0.93,-5,66-71,9640,14781
Zaptius,0.7,0.74,-18,50-68,6930,10985
Totals,0.84,0.84,-53,272-325,40595,61216
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.8,0.96,-2,50-52,9925,13417
Kenny,1.41,1.23,14,74-60,10875,14444
Octane,1.3,1.32,15,62-47,12425,13511
Priestahh,1.28,1.35,21,81-60,10885,14909
Slasher,0.96,0.96,-2,54-56,9435,13226
Totals,1.15,1.17,46,321-275,53545,69507
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.83,0.92,-5,58-63,8435,13377
LlamaGod,0.88,0.81,-11,47-58,7940,9716
Parasite,0.71,0.78,-14,51-65,7650,12357
Royalty,1.07,0.93,-5,66-71,9640,14781
Zaptius,0.7,0.74,-18,50-68,6930,10985
Totals,0.84,0.84,-53,272-325,40595,61216
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.8,0.96,-2,50-52,9925,13417
Kenny,1.41,1.23,14,74-60,10875,14444
Octane,1.3,1.32,15,62-47,12425,13511
Priestahh,1.28,1.35,21,81-60,10885,14909
Slasher,0.96,0.96,-2,54-56,9435,13226
Totals,1.15,1.17,46,321-275,53545,69507
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.83,0.92,-5,58-63,8435,13377
LlamaGod,0.88,0.81,-11,47-58,7940,9716
Parasite,0.71,0.78,-14,51-65,7650,12357
Royalty,1.07,0.93,-5,66-71,9640,14781
Zaptius,0.7,0.74,-18,50-68,6930,10985
Totals,0.84,0.84,-53,272-325,40595,61216
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.8,0.96,-2,50-52,9925,13417
Kenny,1.41,1.23,14,74-60,10875,14444
Octane,1.3,1.32,15,62-47,12425,13511
Priestahh,1.28,1.35,21,81-60,10885,14909
Slasher,0.96,0.96,-2,54-56,9435,13226
Totals,1.15,1.17,46,321-275,53545,69507
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Frosty,0.83,0.92,-5,58-63,8435,13377
LlamaGod,0.88,0.81,-11,47-58,7940,9716
Parasite,0.71,0.78,-14,51-65,7650,12357
Royalty,1.07,0.93,-5,66-71,9640,14781
Zaptius,0.7,0.74,-18,50-68,6930,10985
Totals,0.84,0.84,-53,272-325,40595,61216
