Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.59,0.69,-14,31-45,5595,7214
DraMa,0.91,0.88,-6,42-48,6125,8893
GloFrosty,1.21,1.2,8,48-40,7450,9704
Ramby,0.81,0.81,-10,42-52,5265,8571
Teddyrecks,0.7,0.69,-17,38-55,5040,8868
Totals,0.83,0.84,-39,201-240,29475,43250
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.36,1.32,12,49-37,6940,11261
Exceed,1.77,1.4,17,59-42,7890,11496
Linney,1.03,1.08,3,41-38,7810,8349
Proto,1.03,1.16,7,50-43,7150,9906
Tommey,0.89,1,0,41-41,6115,10101
Totals,1.21,1.19,39,240-201,35905,51113
Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.59,0.69,-14,31-45,5595,7214
DraMa,0.91,0.88,-6,42-48,6125,8893
GloFrosty,1.21,1.2,8,48-40,7450,9704
Ramby,0.81,0.81,-10,42-52,5265,8571
Teddyrecks,0.7,0.69,-17,38-55,5040,8868
Totals,0.83,0.84,-39,201-240,29475,43250
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.36,1.32,12,49-37,6940,11261
Exceed,1.77,1.4,17,59-42,7890,11496
Linney,1.03,1.08,3,41-38,7810,8349
Proto,1.03,1.16,7,50-43,7150,9906
Tommey,0.89,1,0,41-41,6115,10101
Totals,1.21,1.19,39,240-201,35905,51113
Fury Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Demise,0.59,0.69,-14,31-45,5595,7214
DraMa,0.91,0.88,-6,42-48,6125,8893
GloFrosty,1.21,1.2,8,48-40,7450,9704
Ramby,0.81,0.81,-10,42-52,5265,8571
Teddyrecks,0.7,0.69,-17,38-55,5040,8868
Totals,0.83,0.84,-39,201-240,29475,43250
Sicario Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Chino,1.36,1.32,12,49-37,6940,11261
Exceed,1.77,1.4,17,59-42,7890,11496
Linney,1.03,1.08,3,41-38,7810,8349
Proto,1.03,1.16,7,50-43,7150,9906
Tommey,0.89,1,0,41-41,6115,10101
Totals,1.21,1.19,39,240-201,35905,51113
